q,quadruple,lambda,orbit_six_set,orbit_label,j_invariant,body_size,completion,ex,nodes
11,0 1 7 8,4,"3,4,5,7,8,9",generic,2,41,75,4,151668
11,0 1 7 9,10,"2,6,10",harmonic,1,41,75,4,147411
11,0 1 7 10,6,"2,6,10",harmonic,1,41,75,4,150084
11,0 1 7 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,155155
11,0 1 8 9,8,"3,4,5,7,8,9",generic,2,41,75,4,151899
11,0 1 8 10,7,"3,4,5,7,8,9",generic,2,41,75,4,145948
11,0 1 8 inf,9,"3,4,5,7,8,9",generic,2,41,75,4,151085
11,0 1 9 10,5,"3,4,5,7,8,9",generic,2,41,75,4,137995
11,0 1 9 inf,8,"3,4,5,7,8,9",generic,2,41,75,4,152559
11,0 1 10 inf,6,"2,6,10",harmonic,1,41,75,4,152218
11,0 2 3 4,7,"3,4,5,7,8,9",generic,2,41,75,4,139722
11,0 2 3 5,4,"3,4,5,7,8,9",generic,2,41,75,4,149380
11,0 2 3 6,2,"2,6,10",harmonic,1,41,75,4,155947
11,0 2 3 7,10,"2,6,10",harmonic,1,41,75,4,160303
11,0 2 3 8,5,"3,4,5,7,8,9",generic,2,41,75,4,147235
11,0 2 3 9,6,"2,6,10",harmonic,1,41,75,4,143000
11,0 2 3 10,9,"3,4,5,7,8,9",generic,2,41,75,4,141746
11,0 2 3 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,133991
11,0 2 4 5,10,"2,6,10",harmonic,1,41,75,4,158994
11,0 2 4 6,5,"3,4,5,7,8,9",generic,2,41,75,4,154616
11,0 2 4 7,3,"3,4,5,7,8,9",generic,2,41,75,4,143682
11,0 2 4 8,7,"3,4,5,7,8,9",generic,2,41,75,4,152581
11,0 2 4 9,4,"3,4,5,7,8,9",generic,2,41,75,4,156365
11,0 2 4 10,6,"2,6,10",harmonic,1,41,75,4,148379
11,0 2 4 inf,2,"2,6,10",harmonic,1,41,75,4,152042
11,0 2 5 6,6,"2,6,10",harmonic,1,41,75,4,148775
11,0 2 5 7,8,"3,4,5,7,8,9",generic,2,41,75,4,153615
11,0 2 5 8,4,"3,4,5,7,8,9",generic,2,41,75,4,148170
11,0 2 5 9,7,"3,4,5,7,8,9",generic,2,41,75,4,148401
11,0 2 5 10,5,"3,4,5,7,8,9",generic,2,41,75,4,147840
11,0 2 5 inf,9,"3,4,5,7,8,9",generic,2,41,75,4,143418
11,0 2 6 7,5,"3,4,5,7,8,9",generic,2,41,75,4,137995
11,0 2 6 8,8,"3,4,5,7,8,9",generic,2,41,75,4,143572
11,0 2 6 9,3,"3,4,5,7,8,9",generic,2,41,75,4,137489
11,0 2 6 10,10,"2,6,10",harmonic,1,41,75,4,152416
11,0 2 6 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,152779
11,0 2 7 8,6,"2,6,10",harmonic,1,41,75,4,161051
11,0 2 7 9,5,"3,4,5,7,8,9",generic,2,41,75,4,151536
11,0 2 7 10,2,"2,6,10",harmonic,1,41,75,4,155936
11,0 2 7 inf,8,"3,4,5,7,8,9",generic,2,41,75,4,153241
11,0 2 8 9,10,"2,6,10",harmonic,1,41,75,4,152482
11,0 2 8 10,4,"3,4,5,7,8,9",generic,2,41,75,4,154693
11,0 2 8 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,148687
11,0 2 9 10,7,"3,4,5,7,8,9",generic,2,41,75,4,140371
11,0 2 9 inf,6,"2,6,10",harmonic,1,41,75,4,150007
11,0 2 10 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,154198
11,0 3 4 5,6,"2,6,10",harmonic,1,41,75,4,146630
11,0 3 4 6,2,"2,6,10",harmonic,1,41,75,4,152669
11,0 3 4 7,7,"3,4,5,7,8,9",generic,2,41,75,4,132627
11,0 3 4 8,8,"3,4,5,7,8,9",generic,2,41,75,4,149061
11,0 3 4 9,10,"2,6,10",harmonic,1,41,75,4,160743
11,0 3 4 10,5,"3,4,5,7,8,9",generic,2,41,75,4,155485
11,0 3 4 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,136950
11,0 3 5 6,4,"3,4,5,7,8,9",generic,2,41,75,4,158081
11,0 3 5 7,3,"3,4,5,7,8,9",generic,2,41,75,4,156035
11,0 3 5 8,5,"3,4,5,7,8,9",generic,2,41,75,4,154286
11,0 3 5 9,9,"3,4,5,7,8,9",generic,2,41,75,4,153692
11,0 3 5 10,10,"2,6,10",harmonic,1,41,75,4,159489
11,0 3 5 inf,8,"3,4,5,7,8,9",generic,2,41,75,4,144243
11,0 3 6 7,9,"3,4,5,7,8,9",generic,2,41,75,4,154858
11,0 3 6 8,4,"3,4,5,7,8,9",generic,2,41,75,4,152086
11,0 3 6 9,5,"3,4,5,7,8,9",generic,2,41,75,4,129492
11,0 3 6 10,8,"3,4,5,7,8,9",generic,2,41,75,4,139172
11,0 3 6 inf,2,"2,6,10",harmonic,1,41,75,4,156849
11,0 3 7 8,9,"3,4,5,7,8,9",generic,2,41,75,4,140921
11,0 3 7 9,3,"3,4,5,7,8,9",generic,2,41,75,4,153670
11,0 3 7 10,7,"3,4,5,7,8,9",generic,2,41,75,4,157102
11,0 3 7 inf,10,"2,6,10",harmonic,1,41,75,4,155881
11,0 3 8 9,4,"3,4,5,7,8,9",generic,2,41,75,4,150667
11,0 3 8 10,2,"2,6,10",harmonic,1,41,75,4,151778
11,0 3 8 inf,6,"2,6,10",harmonic,1,41,75,4,161568
11,0 3 9 10,6,"2,6,10",harmonic,1,41,75,4,148456
11,0 3 9 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,145475
11,0 3 10 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,157454
11,0 4 5 6,9,"3,4,5,7,8,9",generic,2,41,75,4,150865
11,0 4 5 7,10,"2,6,10",harmonic,1,41,75,4,152207
11,0 4 5 8,8,"3,4,5,7,8,9",generic,2,41,75,4,141933
11,0 4 5 9,4,"3,4,5,7,8,9",generic,2,41,75,4,152185
11,0 4 5 10,3,"3,4,5,7,8,9",generic,2,41,75,4,152075
11,0 4 5 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,137973
11,0 4 6 7,6,"2,6,10",harmonic,1,41,75,4,147741
11,0 4 6 8,7,"3,4,5,7,8,9",generic,2,41,75,4,151668
11,0 4 6 9,9,"3,4,5,7,8,9",generic,2,41,75,4,148181
11,0 4 6 10,4,"3,4,5,7,8,9",generic,2,41,75,4,149996
11,0 4 6 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,155276
11,0 4 7 8,3,"3,4,5,7,8,9",generic,2,41,75,4,138556
11,0 4 7 9,7,"3,4,5,7,8,9",generic,2,41,75,4,150359
11,0 4 7 10,8,"3,4,5,7,8,9",generic,2,41,75,4,161183
11,0 4 7 inf,6,"2,6,10",harmonic,1,41,75,4,164153
11,0 4 8 9,6,"2,6,10",harmonic,1,41,75,4,153417
11,0 4 8 10,10,"2,6,10",harmonic,1,41,75,4,151877
11,0 4 8 inf,2,"2,6,10",harmonic,1,41,75,4,151646
11,0 4 9 10,9,"3,4,5,7,8,9",generic,2,41,75,4,150953
11,0 4 9 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,150909
11,0 4 10 inf,9,"3,4,5,7,8,9",generic,2,41,75,4,157696
11,0 5 6 7,8,"3,4,5,7,8,9",generic,2,41,75,4,137654
11,0 5 6 8,5,"3,4,5,7,8,9",generic,2,41,75,4,149974
11,0 5 6 9,10,"2,6,10",harmonic,1,41,75,4,152537
11,0 5 6 10,3,"3,4,5,7,8,9",generic,2,41,75,4,136081
11,0 5 6 inf,6,"2,6,10",harmonic,1,41,75,4,156585
11,0 5 7 8,2,"2,6,10",harmonic,1,41,75,4,150612
11,0 5 7 9,4,"3,4,5,7,8,9",generic,2,41,75,4,149083
11,0 5 7 10,10,"2,6,10",harmonic,1,41,75,4,150227
11,0 5 7 inf,9,"3,4,5,7,8,9",generic,2,41,75,4,137148
11,0 5 8 9,2,"2,6,10",harmonic,1,41,75,4,146817
11,0 5 8 10,5,"3,4,5,7,8,9",generic,2,41,75,4,138204
11,0 5 8 inf,10,"2,6,10",harmonic,1,41,75,4,147862
11,0 5 9 10,8,"3,4,5,7,8,9",generic,2,41,75,4,159984
11,0 5 9 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,155749
11,0 5 10 inf,2,"2,6,10",harmonic,1,41,75,4,147312
11,0 6 7 8,10,"2,6,10",harmonic,1,41,75,4,149787
11,0 6 7 9,6,"2,6,10",harmonic,1,41,75,4,151470
11,0 6 7 10,5,"3,4,5,7,8,9",generic,2,41,75,4,151668
11,0 6 7 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,152339
11,0 6 8 9,5,"3,4,5,7,8,9",generic,2,41,75,4,162613
11,0 6 8 10,6,"2,6,10",harmonic,1,41,75,4,147411
11,0 6 8 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,155716
11,0 6 9 10,10,"2,6,10",harmonic,1,41,75,4,150084
11,0 6 9 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,163119
11,0 6 10 inf,8,"3,4,5,7,8,9",generic,2,41,75,4,155155
11,0 7 8 9,3,"3,4,5,7,8,9",generic,2,41,75,4,153802
11,0 7 8 10,9,"3,4,5,7,8,9",generic,2,41,75,4,151899
11,0 7 8 inf,8,"3,4,5,7,8,9",generic,2,41,75,4,136829
11,0 7 9 10,3,"3,4,5,7,8,9",generic,2,41,75,4,145948
11,0 7 9 inf,10,"2,6,10",harmonic,1,41,75,4,147213
11,0 7 10 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,151085
11,0 8 9 10,4,"3,4,5,7,8,9",generic,2,41,75,4,137995
11,0 8 9 inf,9,"3,4,5,7,8,9",generic,2,41,75,4,142362
11,0 8 10 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,152559
11,0 9 10 inf,10,"2,6,10",harmonic,1,41,75,4,152218
11,1 2 3 4,5,"3,4,5,7,8,9",generic,2,41,75,4,143913
11,1 2 3 5,7,"3,4,5,7,8,9",generic,2,41,75,4,143198
11,1 2 3 6,6,"2,6,10",harmonic,1,41,75,4,150964
11,1 2 3 7,9,"3,4,5,7,8,9",generic,2,41,75,4,167838
11,1 2 3 8,8,"3,4,5,7,8,9",generic,2,41,75,4,152801
11,1 2 3 9,10,"2,6,10",harmonic,1,41,75,4,155474
11,1 2 3 10,3,"3,4,5,7,8,9",generic,2,41,75,4,139722
11,1 2 3 inf,2,"2,6,10",harmonic,1,41,75,4,151756
11,1 2 4 5,8,"3,4,5,7,8,9",generic,2,41,75,4,151789
11,1 2 4 6,10,"2,6,10",harmonic,1,41,75,4,148522
11,1 2 4 7,4,"3,4,5,7,8,9",generic,2,41,75,4,138457
11,1 2 4 8,6,"2,6,10",harmonic,1,41,75,4,144353
11,1 2 4 9,2,"2,6,10",harmonic,1,41,75,4,151855
11,1 2 4 10,5,"3,4,5,7,8,9",generic,2,41,75,4,149380
11,1 2 4 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,147279
11,1 2 5 6,4,"3,4,5,7,8,9",generic,2,41,75,4,134992
11,1 2 5 7,6,"2,6,10",harmonic,1,41,75,4,156156
11,1 2 5 8,9,"3,4,5,7,8,9",generic,2,41,75,4,149336
11,1 2 5 9,3,"3,4,5,7,8,9",generic,2,41,75,4,156277
11,1 2 5 10,2,"2,6,10",harmonic,1,41,75,4,155947
11,1 2 5 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,154000
11,1 2 6 7,7,"3,4,5,7,8,9",generic,2,41,75,4,145266
11,1 2 6 8,5,"3,4,5,7,8,9",generic,2,41,75,4,154286
11,1 2 6 9,9,"3,4,5,7,8,9",generic,2,41,75,4,142725
11,1 2 6 10,6,"2,6,10",harmonic,1,41,75,4,160303
11,1 2 6 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,153406
11,1 2 7 8,7,"3,4,5,7,8,9",generic,2,41,75,4,155441
11,1 2 7 9,6,"2,6,10",harmonic,1,41,75,4,155914
11,1 2 7 10,4,"3,4,5,7,8,9",generic,2,41,75,4,147235
11,1 2 7 inf,10,"2,6,10",harmonic,1,41,75,4,151382
11,1 2 8 9,4,"3,4,5,7,8,9",generic,2,41,75,4,152350
11,1 2 8 10,10,"2,6,10",harmonic,1,41,75,4,143000
11,1 2 8 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,150810
11,1 2 9 10,8,"3,4,5,7,8,9",generic,2,41,75,4,141746
11,1 2 9 inf,9,"3,4,5,7,8,9",generic,2,41,75,4,156112
11,1 2 10 inf,8,"3,4,5,7,8,9",generic,2,41,75,4,133991
11,1 3 4 5,7,"3,4,5,7,8,9",generic,2,41,75,4,150524
11,1 3 4 6,4,"3,4,5,7,8,9",generic,2,41,75,4,152185
11,1 3 4 7,2,"2,6,10",harmonic,1,41,75,4,154253
11,1 3 4 8,10,"2,6,10",harmonic,1,41,75,4,155760
11,1 3 4 9,5,"3,4,5,7,8,9",generic,2,41,75,4,151261
11,1 3 4 10,6,"2,6,10",harmonic,1,41,75,4,158994
11,1 3 4 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,140877
11,1 3 5 6,10,"2,6,10",harmonic,1,41,75,4,147895
11,1 3 5 7,5,"3,4,5,7,8,9",generic,2,41,75,4,148874
11,1 3 5 8,3,"3,4,5,7,8,9",generic,2,41,75,4,138435
11,1 3 5 9,7,"3,4,5,7,8,9",generic,2,41,75,4,160897
11,1 3 5 10,4,"3,4,5,7,8,9",generic,2,41,75,4,154616
11,1 3 5 inf,2,"2,6,10",harmonic,1,41,75,4,165000
11,1 3 6 7,6,"2,6,10",harmonic,1,41,75,4,154638
11,1 3 6 8,8,"3,4,5,7,8,9",generic,2,41,75,4,151184
11,1 3 6 9,4,"3,4,5,7,8,9",generic,2,41,75,4,140239
11,1 3 6 10,7,"3,4,5,7,8,9",generic,2,41,75,4,143682
11,1 3 6 inf,9,"3,4,5,7,8,9",generic,2,41,75,4,137324
11,1 3 7 8,5,"3,4,5,7,8,9",generic,2,41,75,4,149787
11,1 3 7 9,8,"3,4,5,7,8,9",generic,2,41,75,4,156222
11,1 3 7 10,3,"3,4,5,7,8,9",generic,2,41,75,4,152581
11,1 3 7 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,135146
11,1 3 8 9,6,"2,6,10",harmonic,1,41,75,4,146927
11,1 3 8 10,5,"3,4,5,7,8,9",generic,2,41,75,4,156365
11,1 3 8 inf,8,"3,4,5,7,8,9",generic,2,41,75,4,156783
11,1 3 9 10,10,"2,6,10",harmonic,1,41,75,4,148379
11,1 3 9 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,138842
11,1 3 10 inf,6,"2,6,10",harmonic,1,41,75,4,152042
11,1 4 5 6,6,"2,6,10",harmonic,1,41,75,4,147015
11,1 4 5 7,2,"2,6,10",harmonic,1,41,75,4,153857
11,1 4 5 8,7,"3,4,5,7,8,9",generic,2,41,75,4,135069
11,1 4 5 9,8,"3,4,5,7,8,9",generic,2,41,75,4,152867
11,1 4 5 10,10,"2,6,10",harmonic,1,41,75,4,148775
11,1 4 5 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,137555
11,1 4 6 7,4,"3,4,5,7,8,9",generic,2,41,75,4,151030
11,1 4 6 8,3,"3,4,5,7,8,9",generic,2,41,75,4,152141
11,1 4 6 9,5,"3,4,5,7,8,9",generic,2,41,75,4,154055
11,1 4 6 10,9,"3,4,5,7,8,9",generic,2,41,75,4,153615
11,1 4 6 inf,8,"3,4,5,7,8,9",generic,2,41,75,4,156904
11,1 4 7 8,9,"3,4,5,7,8,9",generic,2,41,75,4,136554
11,1 4 7 9,4,"3,4,5,7,8,9",generic,2,41,75,4,147620
11,1 4 7 10,5,"3,4,5,7,8,9",generic,2,41,75,4,148170
11,1 4 7 inf,2,"2,6,10",harmonic,1,41,75,4,154671
11,1 4 8 9,9,"3,4,5,7,8,9",generic,2,41,75,4,152636
11,1 4 8 10,3,"3,4,5,7,8,9",generic,2,41,75,4,148401
11,1 4 8 inf,10,"2,6,10",harmonic,1,41,75,4,150007
11,1 4 9 10,4,"3,4,5,7,8,9",generic,2,41,75,4,147840
11,1 4 9 inf,6,"2,6,10",harmonic,1,41,75,4,160523
11,1 4 10 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,143418
11,1 5 6 7,9,"3,4,5,7,8,9",generic,2,41,75,4,141977
11,1 5 6 8,10,"2,6,10",harmonic,1,41,75,4,155870
11,1 5 6 9,8,"3,4,5,7,8,9",generic,2,41,75,4,155320
11,1 5 6 10,4,"3,4,5,7,8,9",generic,2,41,75,4,137995
11,1 5 6 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,160501
11,1 5 7 8,6,"2,6,10",harmonic,1,41,75,4,150051
11,1 5 7 9,7,"3,4,5,7,8,9",generic,2,41,75,4,151844
11,1 5 7 10,9,"3,4,5,7,8,9",generic,2,41,75,4,143572
11,1 5 7 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,137566
11,1 5 8 9,3,"3,4,5,7,8,9",generic,2,41,75,4,155606
11,1 5 8 10,7,"3,4,5,7,8,9",generic,2,41,75,4,137489
11,1 5 8 inf,6,"2,6,10",harmonic,1,41,75,4,146894
11,1 5 9 10,6,"2,6,10",harmonic,1,41,75,4,152416
11,1 5 9 inf,2,"2,6,10",harmonic,1,41,75,4,148621
11,1 5 10 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,152779
11,1 6 7 8,8,"3,4,5,7,8,9",generic,2,41,75,4,155507
11,1 6 7 9,5,"3,4,5,7,8,9",generic,2,41,75,4,159291
11,1 6 7 10,10,"2,6,10",harmonic,1,41,75,4,161051
11,1 6 7 inf,6,"2,6,10",harmonic,1,41,75,4,148698
11,1 6 8 9,2,"2,6,10",harmonic,1,41,75,4,149809
11,1 6 8 10,4,"3,4,5,7,8,9",generic,2,41,75,4,151536
11,1 6 8 inf,9,"3,4,5,7,8,9",generic,2,41,75,4,152768
11,1 6 9 10,2,"2,6,10",harmonic,1,41,75,4,155936
11,1 6 9 inf,10,"2,6,10",harmonic,1,41,75,4,155562
11,1 6 10 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,153241
11,1 7 8 9,10,"2,6,10",harmonic,1,41,75,4,154132
11,1 7 8 10,6,"2,6,10",harmonic,1,41,75,4,152482
11,1 7 8 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,141955
11,1 7 9 10,5,"3,4,5,7,8,9",generic,2,41,75,4,154693
11,1 7 9 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,154352
11,1 7 10 inf,3,"3,4,5,7,8,9",generic,2,41,75,4,148687
11,1 8 9 10,3,"3,4,5,7,8,9",generic,2,41,75,4,140371
11,1 8 9 inf,8,"3,4,5,7,8,9",generic,2,41,75,4,136807
11,1 8 10 inf,10,"2,6,10",harmonic,1,41,75,4,150007
11,1 9 10 inf,9,"3,4,5,7,8,9",generic,2,41,75,4,154198
11,2 3 4 5,5,"3,4,5,7,8,9",generic,2,41,75,4,149215
11,2 3 4 6,7,"3,4,5,7,8,9",generic,2,41,75,4,154044
11,2 3 4 7,6,"2,6,10",harmonic,1,41,75,4,143847
11,2 3 4 8,9,"3,4,5,7,8,9",generic,2,41,75,4,134530
