bin_key,n,no_op_count,damp_low_band_count,majority_action,minority_fraction,evaluated,fiber_incompatible
-1;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,93,93,0,no_op,0.0,True,False
-1;0;-4;-5;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,60,60,0,no_op,0.0,True,False
-1;0;-3;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,56,56,0,no_op,0.0,True,False
0;0;-1;-1;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,56,56,0,no_op,0.0,True,False
-1;0;-1;-1;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,53,53,0,no_op,0.0,True,False
-1;0;-2;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,47,47,0,no_op,0.0,True,False
-1;0;-1;-2;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,36,36,0,no_op,0.0,True,False
-1;0;-2;-2;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,19,19,0,no_op,0.0,False,False
-1;0;-2;-2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,19,19,0,no_op,0.0,False,False
-1;0;-4;-5;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,17,17,0,no_op,0.0,False,False
-1;0;-4;-4;0;0;0;0;0;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,16,16,0,no_op,0.0,False,False
-1;0;-1;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,13,13,0,no_op,0.0,False,False
-1;0;-1;-1;0;0;0;0;0;-1;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,11,11,0,no_op,0.0,False,False
0;0;-1;-1;0;0;0;0;0;0;0;0;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,10,10,0,no_op,0.0,False,False
-1;0;-4;-4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,9,9,0,no_op,0.0,False,False
-1;0;-4;-5;0;0;0;0;0;-1;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7,7,0,no_op,0.0,False,False
-1;0;-4;-5;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,7,7,0,no_op,0.0,False,False
-1;0;-1;-2;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5,5,0,no_op,0.0,False,False
-1;0;-4;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,4,4,0,no_op,0.0,False,False
-1;0;-3;-4;0;0;0;0;0;-1;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3,3,0,no_op,0.0,False,False
-1;0;-2;-3;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0,2,2,0,no_op,0.0,False,False
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1,1,0,no_op,0.0,False,False
