seed,k,S,func_held,state_held
0,4,0256,0.5415,0.0328
0,4,0257,0.5383,0.0255
0,4,0267,0.53,0.0149
0,4,0345,0.5372,0.0398
0,4,0346,0.5233,0.0354
0,4,0347,0.5323,0.0503
0,4,0356,0.542,0.0438
0,4,0357,0.5422,0.0444
0,4,0367,0.5342,0.0447
0,4,0456,0.5433,0.0418
0,4,0457,0.5448,0.0408
0,4,0467,0.5327,0.028
0,4,0567,0.5432,0.0283
0,4,1234,0.5233,0.0252
0,4,1235,0.5487,0.0264
0,4,1236,0.5277,0.0331
0,4,1237,0.546,0.0368
0,4,1245,0.5477,0.042
0,4,1246,0.5297,0.0468
0,4,1247,0.5402,0.0458
0,4,1256,0.557,0.0484
0,4,1257,0.5605,0.0356
0,4,1267,0.5437,0.0429
0,4,1345,0.525,0.0115
0,4,1346,0.5248,0.0238
0,4,1347,0.5285,0.03
0,4,1356,0.536,0.0243
0,4,1357,0.5445,0.0199
0,4,1367,0.5392,0.0321
0,4,1456,0.5412,0.0409
0,4,1457,0.5468,0.0324
0,4,1467,0.5372,0.0414
0,4,1567,0.5512,0.0336
0,4,2345,0.5323,0.0376
0,4,2346,0.5237,0.0415
0,4,2347,0.5277,0.0432
0,4,2356,0.5475,0.0548
0,4,2357,0.5415,0.0398
0,4,2367,0.5337,0.0496
0,4,2456,0.5528,0.0513
0,4,2457,0.5473,0.033
0,4,2467,0.5343,0.0282
0,4,2567,0.5453,0.034
0,4,3456,0.5268,0.0397
0,4,3457,0.5262,0.0295
0,4,3467,0.527,0.0429
0,4,3567,0.5383,0.0424
0,4,4567,0.543,0.0371
0,5,01234,0.5242,0.0344
0,5,01235,0.5498,0.0336
0,5,01236,0.5284,0.0317
0,5,01237,0.5518,0.0505
0,5,01245,0.5547,0.0532
0,5,01246,0.5438,0.0484
0,5,01247,0.5482,0.064
0,5,01256,0.5553,0.0467
0,5,01257,0.5662,0.0468
0,5,01267,0.5547,0.0452
0,5,01345,0.5389,0.0263
0,5,01346,0.5304,0.03
0,5,01347,0.542,0.0527
0,5,01356,0.5511,0.028
0,5,01357,0.5624,0.0376
0,5,01367,0.5498,0.0403
0,5,01456,0.5507,0.0485
0,5,01457,0.5547,0.0543
0,5,01467,0.5518,0.0526
0,5,01567,0.5651,0.039
0,5,02345,0.5304,0.0486
0,5,02346,0.52,0.0436
0,5,02347,0.536,0.0609
0,5,02356,0.546,0.0559
0,5,02357,0.5469,0.0524
0,5,02367,0.5369,0.054
0,5,02456,0.5509,0.0519
0,5,02457,0.5464,0.046
0,5,02467,0.5358,0.0298
0,5,02567,0.5458,0.0303
0,5,03456,0.5344,0.0492
0,5,03457,0.5369,0.0529
0,5,03467,0.534,0.0567
0,5,03567,0.5527,0.0522
0,5,04567,0.5556,0.0468
0,5,12345,0.53,0.0217
0,5,12346,0.5173,0.0387
0,5,12347,0.5307,0.0454
0,5,12356,0.5491,0.0409
0,5,12357,0.5562,0.0312
0,5,12367,0.5444,0.0484
0,5,12456,0.5529,0.0606
0,5,12457,0.5576,0.0457
0,5,12467,0.5402,0.0591
0,5,12567,0.5682,0.0485
0,5,13456,0.526,0.0197
0,5,13457,0.5247,0.0153
0,5,13467,0.5291,0.0387
0,5,13567,0.5453,0.0269
0,5,14567,0.548,0.0432
0,5,23456,0.5362,0.0624
0,5,23457,0.5393,0.0461
0,5,23467,0.5287,0.0623
0,5,23567,0.548,0.0624
0,5,24567,0.5587,0.0538
0,5,34567,0.5353,0.0478
0,6,012345,0.5307,0.03
0,6,012346,0.5213,0.0393
0,6,012347,0.5447,0.0704
0,6,012356,0.5573,0.0369
0,6,012357,0.5667,0.0451
0,6,012367,0.5547,0.0539
0,6,012456,0.5587,0.0641
0,6,012457,0.5593,0.067
0,6,012467,0.555,0.071
0,6,012567,0.5783,0.048
0,6,013456,0.5353,0.023
0,6,013457,0.5467,0.0397
0,6,013467,0.5467,0.0542
0,6,013567,0.5703,0.033
0,6,014567,0.5613,0.0564
0,6,023456,0.5317,0.0679
0,6,023457,0.542,0.0676
0,6,023467,0.5353,0.0753
0,6,023567,0.555,0.0683
0,6,024567,0.5633,0.0576
0,6,034567,0.5483,0.0653
0,6,123456,0.5253,0.0387
0,6,123457,0.536,0.027
0,6,123467,0.528,0.0642
0,6,123567,0.567,0.0463
0,6,124567,0.5683,0.0671
0,6,134567,0.5227,0.0216
0,6,234567,0.5483,0.0788
0,7,0123456,0.5193,0.0285
0,7,0123457,0.5487,0.0503
0,7,0123467,0.5447,0.0909
0,7,0123567,0.592,0.044
0,7,0124567,0.5753,0.0845
0,7,0134567,0.542,0.0286
0,7,0234567,0.5607,0.1068
0,7,1234567,0.5313,0.0484
1,1,0,0.514,0.0052
1,1,1,0.4974,0.0003
1,1,2,0.5106,0.0012
1,1,3,0.5024,0.0041
1,1,4,0.5193,0.0091
1,1,5,0.5107,0.0013
1,1,6,0.5133,0.005
1,1,7,0.5404,0.0209
1,2,01,0.5161,0.0078
1,2,02,0.5191,0.0075
1,2,03,0.5134,0.0113
1,2,04,0.528,0.0149
1,2,05,0.5184,0.0084
1,2,06,0.5223,0.0132
1,2,07,0.538,0.0211
1,2,12,0.5093,0.0019
1,2,13,0.507,0.007
1,2,14,0.5156,0.0105
1,2,15,0.5037,0.0034
1,2,16,0.5012,0.0079
1,2,17,0.5326,0.0243
1,2,23,0.5098,0.0071
1,2,24,0.5262,0.0127
1,2,25,0.5212,0.004
1,2,26,0.5217,0.0086
1,2,27,0.5434,0.0262
1,2,34,0.5206,0.016
1,2,35,0.5122,0.0071
1,2,36,0.5071,0.0084
1,2,37,0.5368,0.0215
1,2,45,0.5208,0.0116
1,2,46,0.5213,0.0163
1,2,47,0.5424,0.017
1,2,56,0.5144,0.0072
1,2,57,0.5376,0.0235
1,2,67,0.5377,0.0196
1,3,012,0.5179,0.0097
1,3,013,0.5144,0.0165
1,3,014,0.5299,0.018
1,3,015,0.5212,0.0126
1,3,016,0.5255,0.0185
1,3,017,0.5352,0.0253
1,3,023,0.5147,0.015
1,3,024,0.5231,0.0185
1,3,025,0.5263,0.0115
1,3,026,0.5284,0.0177
1,3,027,0.5368,0.025
1,3,034,0.5312,0.0236
1,3,035,0.5179,0.016
1,3,036,0.5191,0.018
1,3,037,0.5344,0.0219
1,3,045,0.5376,0.0188
1,3,046,0.5419,0.0248
1,3,047,0.5375,0.0158
1,3,056,0.5261,0.0171
1,3,057,0.5448,0.0243
1,3,067,0.5368,0.0195
1,3,123,0.5056,0.0098
1,3,124,0.5268,0.0139
1,3,125,0.5128,0.0056
1,3,126,0.5241,0.0114
1,3,127,0.5467,0.0302
1,3,134,0.5221,0.0196
1,3,135,0.508,0.0115
1,3,136,0.5045,0.0131
1,3,137,0.5353,0.0253
1,3,145,0.5232,0.014
1,3,146,0.5208,0.0192
1,3,147,0.5356,0.0194
1,3,156,0.5077,0.0114
1,3,157,0.5321,0.0285
1,3,167,0.5308,0.0225
1,3,234,0.5244,0.021
1,3,235,0.5168,0.011
1,3,236,0.52,0.0124
1,3,237,0.542,0.0268
1,3,245,0.5287,0.0162
1,3,246,0.5327,0.0224
1,3,247,0.5449,0.0222
1,3,256,0.5288,0.0118
1,3,257,0.5435,0.0302
1,3,267,0.5427,0.0264
1,3,345,0.5248,0.02
1,3,346,0.5264,0.0224
1,3,347,0.5357,0.0169
1,3,356,0.5199,0.0115
1,3,357,0.536,0.0246
1,3,367,0.5368,0.0188
1,3,456,0.5332,0.0195
1,3,457,0.5399,0.0186
1,3,467,0.5376,0.0152
1,3,567,0.5399,0.0218
1,4,0123,0.517,0.0206
1,4,0124,0.5258,0.0218
1,4,0125,0.5247,0.0157
1,4,0126,0.5257,0.0236
1,4,0127,0.5367,0.0301
1,4,0134,0.535,0.0303
1,4,0135,0.5195,0.024
1,4,0136,0.5233,0.0265
1,4,0137,0.5347,0.0268
1,4,0145,0.5413,0.024
1,4,0146,0.544,0.031
1,4,0147,0.5358,0.0187
1,4,0156,0.5283,0.0251
1,4,0157,0.5453,0.0311
1,4,0167,0.5323,0.0232
1,4,0234,0.5222,0.0296
1,4,0235,0.5213,0.0212
1,4,0236,0.523,0.0237
1,4,0237,0.5333,0.0256
1,4,0245,0.5283,0.024
1,4,0246,0.5417,0.0322
1,4,0247,0.5372,0.0188
1,4,0256,0.5293,0.0232
1,4,0257,0.5415,0.0298
1,4,0267,0.5382,0.0249
1,4,0345,0.536,0.0302
1,4,0346,0.5407,0.0335
1,4,0347,0.5315,0.0154
1,4,0356,0.5255,0.0238
1,4,0357,0.5398,0.026
1,4,0367,0.5317,0.0184
1,4,0456,0.5472,0.0307
1,4,0457,0.5453,0.0177
1,4,0467,0.5413,0.013
1,4,0567,0.5425,0.0224
1,4,1234,0.5265,0.0254
1,4,1235,0.5053,0.0157
1,4,1236,0.521,0.0175
1,4,1237,0.545,0.0317
1,4,1245,0.53,0.0189
1,4,1246,0.5335,0.0262
1,4,1247,0.5475,0.0254
1,4,1256,0.526,0.0164
1,4,1257,0.5503,0.0368
1,4,1267,0.5477,0.0305
1,4,1345,0.5287,0.0257
1,4,1346,0.5283,0.0283
1,4,1347,0.5337,0.0195
1,4,1356,0.5128,0.0184
1,4,1357,0.5333,0.0306
1,4,1367,0.534,0.0221
1,4,1456,0.5303,0.0243
1,4,1457,0.5373,0.0225
1,4,1467,0.5317,0.0165
1,4,1567,0.5295,0.0266
1,4,2345,0.5237,0.0269
1,4,2346,0.5352,0.03
1,4,2347,0.5388,0.022
1,4,2356,0.524,0.017
1,4,2357,0.5435,0.0318
1,4,2367,0.541,0.0251
1,4,2456,0.5378,0.0278
1,4,2457,0.544,0.0255
1,4,2467,0.5435,0.0223
1,4,2567,0.5503,0.0307
1,4,3456,0.5368,0.0277
1,4,3457,0.5363,0.0188
1,4,3467,0.5358,0.0133
1,4,3567,0.5403,0.0214
1,4,4567,0.5363,0.0162
1,5,01234,0.5213,0.0389
1,5,01235,0.5258,0.0314
1,5,01236,0.5247,0.0345
1,5,01237,0.5331,0.0321
1,5,01245,0.5342,0.0308
1,5,01246,0.5442,0.0411
1,5,01247,0.5347,0.0224
1,5,01256,0.5331,0.0336
1,5,01257,0.542,0.0391
1,5,01267,0.5411,0.0302
1,5,01345,0.544,0.0418
1,5,01346,0.5464,0.0457
1,5,01347,0.5342,0.0185
1,5,01356,0.5313,0.0376
1,5,01357,0.5404,0.0349
1,5,01367,0.5336,0.0228
1,5,01456,0.5556,0.0414
1,5,01457,0.5531,0.0229
1,5,01467,0.5373,0.0143
1,5,01567,0.5436,0.0293
1,5,02345,0.528,0.0399
1,5,02346,0.5424,0.0446
1,5,02347,0.5258,0.0174
1,5,02356,0.5262,0.0327
1,5,02357,0.5409,0.032
1,5,02367,0.5324,0.0227
1,5,02456,0.5456,0.0422
1,5,02457,0.542,0.0221
1,5,02467,0.5351,0.0175
1,5,02567,0.5422,0.0303
1,5,03456,0.5524,0.044
1,5,03457,0.5398,0.0177
1,5,03467,0.5358,0.0097
1,5,03567,0.5344,0.022
1,5,04567,0.5458,0.014
1,5,12345,0.53,0.0352
1,5,12346,0.5324,0.0386
1,5,12347,0.5409,0.0258
1,5,12356,0.5213,0.0258
1,5,12357,0.55,0.0408
1,5,12367,0.5436,0.03
1,5,12456,0.5449,0.0351
1,5,12457,0.5493,0.0314
1,5,12467,0.5473,0.0251
1,5,12567,0.5511,0.0384
1,5,13456,0.536,0.0377
1,5,13457,0.5358,0.0234
1,5,13467,0.5333,0.0143
1,5,13567,0.5333,0.0273
1,5,14567,0.5302,0.0189
1,5,23456,0.5364,0.0394
1,5,23457,0.5382,0.0261
1,5,23467,0.5391,0.0195
1,5,23567,0.5456,0.0305
1,5,24567,0.552,0.026
1,5,34567,0.5384,0.014
1,6,012345,0.5313,0.0598
1,6,012346,0.5473,0.0657
1,6,012347,0.52,0.0216
1,6,012356,0.5353,0.0545
1,6,012357,0.54,0.0464
1,6,012367,0.5367,0.0294
1,6,012456,0.558,0.0612
1,6,012457,0.545,0.0304
1,6,012467,0.5337,0.0199
1,6,012567,0.5543,0.0423
1,6,013456,0.5647,0.0682
1,6,013457,0.539,0.0247
1,6,013467,0.5393,0.0097
1,6,013567,0.5377,0.0316
1,6,014567,0.552,0.0173
1,6,023456,0.5493,0.0652
1,6,023457,0.529,0.0215
1,6,023467,0.5297,0.0108
1,6,023567,0.533,0.0297
1,6,024567,0.5497,0.0209
1,6,034567,0.546,0.0094
1,6,123456,0.5477,0.0576
1,6,123457,0.5453,0.0348
1,6,123467,0.5447,0.0222
1,6,123567,0.5473,0.0416
1,6,124567,0.5623,0.0328
1,6,134567,0.5337,0.0167
1,6,234567,0.5427,0.0235
1,7,0123456,0.5793,0.1296
1,7,0123457,0.5233,0.0363
1,7,0123467,0.5173,0.009
1,7,0123567,0.5507,0.0528
1,7,0124567,0.562,0.031
1,7,0134567,0.5507,0.0111
1,7,0234567,0.538,0.0106
1,7,1234567,0.5607,0.0345
2,1,0,0.5275,0.0181
2,1,1,0.5253,0.0124
2,1,2,0.5079,0.0067
2,1,3,0.5219,0.007
2,1,4,0.5221,0.0108
2,1,5,0.5268,0.0113
2,1,6,0.5105,0.0142
2,1,7,0.5261,0.0202
2,2,01,0.5306,0.0148
2,2,02,0.5317,0.0286
2,2,03,0.5291,0.025
2,2,04,0.5321,0.0275
2,2,05,0.5362,0.0203
2,2,06,0.5296,0.0378
2,2,07,0.539,0.0443
2,2,12,0.5296,0.0188
2,2,13,0.5392,0.0244
2,2,14,0.5429,0.0257
2,2,15,0.5413,0.0255
2,2,16,0.5248,0.0285
2,2,17,0.5454,0.0386
2,2,23,0.5191,0.0171
2,2,24,0.5289,0.0207
2,2,25,0.5236,0.022
2,2,26,0.5093,0.0237
2,2,27,0.5196,0.0227
2,2,34,0.5314,0.0131
2,2,35,0.5359,0.0183
2,2,36,0.5209,0.0233
2,2,37,0.5413,0.0296
2,2,45,0.5343,0.0189
2,2,46,0.5263,0.0299
2,2,47,0.5353,0.0312
2,2,56,0.5298,0.0279
2,2,57,0.5387,0.0318
2,2,67,0.5197,0.0128
2,3,012,0.5303,0.023
2,3,013,0.5341,0.0211
2,3,014,0.5437,0.0249
2,3,015,0.5435,0.0164
2,3,016,0.5295,0.0347
2,3,017,0.5503,0.0457
2,3,023,0.5309,0.0388
2,3,024,0.5389,0.04
2,3,025,0.5379,0.0336
2,3,026,0.5369,0.0523
2,3,027,0.5353,0.0509
2,3,034,0.5397,0.0297
2,3,035,0.5395,0.0267
2,3,036,0.53,0.0477
2,3,037,0.5472,0.0548
2,3,045,0.5365,0.0264
2,3,046,0.5433,0.0527
2,3,047,0.5451,0.0545
2,3,056,0.5387,0.0416
2,3,057,0.5437,0.0463
2,3,067,0.5368,0.0398
2,3,123,0.538,0.0346
2,3,124,0.5501,0.0344
2,3,125,0.5401,0.036
2,3,126,0.5237,0.0382
2,3,127,0.5435,0.0404
2,3,134,0.5556,0.0316
2,3,135,0.5543,0.0375
2,3,136,0.5404,0.043
2,3,137,0.558,0.054
2,3,145,0.5511,0.0358
2,3,146,0.5529,0.0476
2,3,147,0.5587,0.0529
2,3,156,0.5429,0.0449
2,3,157,0.5605,0.0531
2,3,167,0.5376,0.0301
2,3,234,0.5379,0.0255
2,3,235,0.5435,0.0327
2,3,236,0.5159,0.0364
2,3,237,0.5344,0.0338
2,3,245,0.5392,0.0318
2,3,246,0.53,0.0432
2,3,247,0.5315,0.0328
2,3,256,0.5303,0.0422
2,3,257,0.5376,0.0378
2,3,267,0.5105,0.0143
2,3,345,0.5448,0.0207
2,3,346,0.5361,0.0339
2,3,347,0.5463,0.0361
2,3,356,0.5357,0.0375
2,3,357,0.5492,0.0418
2,3,367,0.532,0.0215
2,3,456,0.5376,0.0402
2,3,457,0.5432,0.0402
2,3,467,0.5265,0.0245
2,3,567,0.5319,0.0244
2,4,0123,0.5418,0.0331
2,4,0124,0.5522,0.0351
2,4,0125,0.5483,0.0276
2,4,0126,0.5333,0.0483
2,4,0127,0.55,0.0499
2,4,0134,0.5483,0.0247
2,4,0135,0.5463,0.0216
2,4,0136,0.5337,0.0438
2,4,0137,0.5632,0.057
2,4,0145,0.547,0.0228
2,4,0146,0.5548,0.0522
2,4,0147,0.5558,0.0585
2,4,0156,0.5442,0.0385
2,4,0157,0.5525,0.0485
2,4,0167,0.5432,0.037
2,4,0234,0.5458,0.046
2,4,0235,0.5492,0.0448
2,4,0236,0.5383,0.0679
2,4,0237,0.5448,0.0645
2,4,0245,0.547,0.0419
2,4,0246,0.5482,0.072
2,4,0247,0.5432,0.0596
2,4,0256,0.5448,0.0614
2,4,0257,0.5392,0.0561
2,4,0267,0.5275,0.0469
2,4,0345,0.538,0.0274
2,4,0346,0.5453,0.0592
2,4,0347,0.548,0.0622
2,4,0356,0.5428,0.0526
2,4,0357,0.5525,0.0578
2,4,0367,0.5437,0.0507
2,4,0456,0.5373,0.0544
2,4,0457,0.5412,0.0548
2,4,0467,0.54,0.0513
2,4,0567,0.5362,0.0404
2,4,1234,0.5595,0.044
2,4,1235,0.5602,0.0537
2,4,1236,0.5333,0.0587
2,4,1237,0.5553,0.0597
2,4,1245,0.5608,0.049
2,4,1246,0.5553,0.0622
2,4,1247,0.5548,0.053
2,4,1256,0.5462,0.0615
2,4,1257,0.557,0.0597
2,4,1267,0.532,0.0302
2,4,1345,0.5655,0.0422
2,4,1346,0.5632,0.0568
2,4,1347,0.5705,0.0644
2,4,1356,0.5568,0.0616
2,4,1357,0.574,0.0712
2,4,1367,0.551,0.0458
2,4,1456,0.561,0.0627
2,4,1457,0.563,0.0669
2,4,1467,0.5543,0.0458
2,4,1567,0.5552,0.0455
2,4,2345,0.5503,0.0375
2,4,2346,0.5412,0.0516
2,4,2347,0.5432,0.0391
2,4,2356,0.5445,0.0577
2,4,2357,0.5512,0.0511
2,4,2367,0.5227,0.0248
2,4,2456,0.5432,0.0593
2,4,2457,0.5383,0.0452
2,4,2467,0.518,0.0249
2,4,2567,0.5263,0.0301
2,4,3456,0.5485,0.0453
2,4,3457,0.5533,0.0462
2,4,3467,0.5425,0.0275
2,4,3567,0.541,0.0341
2,4,4567,0.5368,0.0328
2,5,01234,0.5589,0.0383
2,5,01235,0.5567,0.0384
2,5,01236,0.5384,0.0648
2,5,01237,0.5564,0.0656
2,5,01245,0.558,0.036
2,5,01246,0.562,0.0724
2,5,01247,0.5591,0.06
2,5,01256,0.5478,0.0589
2,5,01257,0.5522,0.0562
2,5,01267,0.5356,0.0396
2,5,01345,0.5551,0.0197
2,5,01346,0.5604,0.0563
2,5,01347,0.5602,0.0662
2,5,01356,0.552,0.0486
2,5,01357,0.5671,0.0615
2,5,01367,0.5558,0.0471
2,5,01456,0.5553,0.0545
2,5,01457,0.558,0.0602
2,5,01467,0.5487,0.0509
2,5,01567,0.5422,0.0369
2,5,02345,0.5467,0.0487
2,5,02346,0.5542,0.087
2,5,02347,0.548,0.071
2,5,02356,0.5544,0.0821
2,5,02357,0.5522,0.0733
2,5,02367,0.5358,0.0624
2,5,02456,0.5484,0.0815
2,5,02457,0.5398,0.0632
2,5,02467,0.5358,0.0571
2,5,02567,0.5318,0.0515
2,5,03456,0.5436,0.0623
2,5,03457,0.5469,0.0637
2,5,03467,0.5422,0.0589
2,5,03567,0.5451,0.0528
2,5,04567,0.5349,0.0494
2,5,12345,0.5787,0.0622
2,5,12346,0.5727,0.0793
2,5,12347,0.5722,0.0684
2,5,12356,0.5622,0.0893
2,5,12357,0.5789,0.0856
2,5,12367,0.5431,0.0506
2,5,12456,0.5704,0.0873
2,5,12457,0.5636,0.073
2,5,12467,0.55,0.0435
2,5,12567,0.5529,0.0519
2,5,13456,0.5751,0.0761
2,5,13457,0.5842,0.0833
2,5,13467,0.5693,0.0562
2,5,13567,0.5716,0.0655
2,5,14567,0.5576,0.061
2,5,23456,0.5591,0.0726
2,5,23457,0.5558,0.0547
2,5,23467,0.536,0.0287
2,5,23567,0.5436,0.0439
2,5,24567,0.5264,0.0371
2,5,34567,0.5436,0.0368
2,6,012345,0.575,0.0382
2,6,012346,0.5717,0.0886
2,6,012347,0.5647,0.0722
2,6,012356,0.559,0.0841
2,6,012357,0.574,0.0786
2,6,012367,0.544,0.055
2,6,012456,0.5657,0.0871
2,6,012457,0.5573,0.0657
2,6,012467,0.5517,0.0494
2,6,012567,0.54,0.0427
2,6,013456,0.5657,0.0594
2,6,013457,0.5717,0.0705
2,6,013467,0.555,0.055
2,6,013567,0.559,0.0481
2,6,014567,0.549,0.048
2,6,023456,0.558,0.1067
2,6,023457,0.5443,0.08
2,6,023467,0.5353,0.0704
2,6,023567,0.5453,0.0735
2,6,024567,0.5217,0.0594
2,6,034567,0.5333,0.058
2,6,123456,0.6053,0.12
2,6,123457,0.599,0.1005
2,6,123467,0.5707,0.058
2,6,123567,0.5747,0.0843
2,6,124567,0.5547,0.0671
2,6,134567,0.587,0.0794
2,6,234567,0.5397,0.0449
2,7,0123456,0.606,0.1299
2,7,0123457,0.5813,0.0913
2,7,0123467,0.5587,0.0556
2,7,0123567,0.562,0.0688
2,7,0124567,0.5387,0.0467
2,7,0134567,0.5573,0.0497
2,7,0234567,0.5147,0.0849
2,7,1234567,0.6147,0.1099
