q,body,body_size,direction,lit,activation_cost,witness_intercept,add_points
11,line-plus-safe,20,2,false,9,0,23 40 46 63 69 86 92 109 115
11,line-plus-safe,20,3,false,9,0,30 34 49 64 68 83 98 102 117
11,line-plus-safe,20,4,false,9,0,28 42 45 59 73 87 90 104 118
11,line-plus-safe,20,5,false,9,1,31 40 49 58 67 87 96 105 114
11,line-plus-safe,20,6,false,9,0,26 39 52 65 67 80 93 106 119
11,line-plus-safe,20,7,false,9,0,27 35 54 62 70 78 97 105 113
11,line-plus-safe,20,8,false,9,0,25 43 50 57 75 82 89 107 114
11,line-plus-safe,20,9,false,9,0,32 37 53 58 74 79 95 100 116
11,line-plus-safe,20,10,false,9,1,32 42 52 62 72 82 92 102 112
11,line-plus-safe,20,inf,false,9,0,22 33 44 55 66 77 88 99 110
11,threshold-cross,21,0,true,0,0,
11,threshold-cross,21,1,true,0,1,
11,threshold-cross,21,2,false,9,0,17 40 46 63 69 86 92 109 115
11,threshold-cross,21,3,false,9,0,15 30 34 49 64 68 98 102 117
11,threshold-cross,21,4,false,9,0,14 28 42 45 73 87 90 104 118
11,threshold-cross,21,5,false,9,0,20 29 38 56 76 85 94 103 112
11,threshold-cross,21,6,false,9,0,13 26 39 52 65 67 80 93 106
11,threshold-cross,21,7,false,9,0,19 27 54 62 70 78 97 105 113
11,threshold-cross,21,8,false,9,0,18 25 43 50 57 75 82 89 114
11,threshold-cross,21,9,false,9,0,16 32 37 53 58 74 79 100 116
11,threshold-cross,21,10,false,9,0,21 31 41 51 61 81 91 101 111
11,threshold-cross,21,inf,false,9,0,22 33 44 55 66 77 88 99 110
11,star-k2,21,0,true,0,0,
11,star-k2,21,1,true,0,0,
11,star-k2,21,2,false,9,1,11 28 34 51 57 74 80 97 103
11,star-k2,21,3,false,9,1,11 26 41 45 75 79 94 109 113
11,star-k2,21,4,false,9,1,11 25 39 53 56 70 98 101 115
11,star-k2,21,5,false,9,1,11 31 40 49 58 67 87 105 114
11,star-k2,21,6,false,9,1,11 37 50 63 76 78 91 104 117
11,star-k2,21,7,false,9,1,11 30 38 46 65 73 81 89 116
11,star-k2,21,8,false,9,1,11 29 54 61 68 86 93 100 118
11,star-k2,21,9,false,9,1,11 27 43 64 69 85 90 106 111
11,star-k2,21,10,false,9,1,11 32 42 52 62 82 92 102 112
11,star-k2,21,inf,false,9,1,23 34 45 56 67 78 89 100 111
11,star-k3,31,0,true,0,0,
11,star-k3,31,1,true,0,0,
11,star-k3,31,2,true,0,0,
11,star-k3,31,3,false,8,1,11 26 41 45 75 79 94 113
11,star-k3,31,4,false,8,1,11 25 39 53 56 70 98 101
11,star-k3,31,5,false,8,1,11 31 49 58 67 87 105 114
11,star-k3,31,6,false,8,1,11 37 50 76 78 91 104 117
11,star-k3,31,7,false,8,1,11 30 38 65 73 81 89 116
11,star-k3,31,8,false,8,1,11 29 54 61 68 93 100 118
11,star-k3,31,9,false,8,1,11 27 43 64 85 90 106 111
11,star-k3,31,10,false,8,1,11 32 42 52 62 82 102 112
11,star-k3,31,inf,false,8,1,34 45 56 67 78 89 100 111
11,star-k10,101,0,true,0,0,
11,star-k10,101,1,true,0,0,
11,star-k10,101,2,true,0,0,
11,star-k10,101,3,true,0,0,
11,star-k10,101,4,true,0,0,
11,star-k10,101,5,true,0,0,
11,star-k10,101,6,true,0,0,
11,star-k10,101,7,true,0,0,
11,star-k10,101,8,true,0,0,
11,star-k10,101,9,true,0,0,
11,star-k10,101,10,false,1,1,11
11,star-k10,101,inf,false,1,1,111
11,pencil-minus-one,111,0,true,0,0,
11,pencil-minus-one,111,1,true,0,0,
11,pencil-minus-one,111,2,true,0,0,
11,pencil-minus-one,111,3,true,0,0,
11,pencil-minus-one,111,4,true,0,0,
11,pencil-minus-one,111,5,true,0,0,
11,pencil-minus-one,111,6,true,0,0,
11,pencil-minus-one,111,7,true,0,0,
11,pencil-minus-one,111,8,true,0,0,
11,pencil-minus-one,111,9,true,0,0,
11,pencil-minus-one,111,10,true,0,0,
11,pencil-minus-one,111,inf,true,0,1,
11,whole-plane,121,0,true,0,0,
11,whole-plane,121,1,true,0,0,
11,whole-plane,121,2,true,0,0,
11,whole-plane,121,3,true,0,0,
11,whole-plane,121,4,true,0,0,
11,whole-plane,121,5,true,0,0,
11,whole-plane,121,6,true,0,0,
11,whole-plane,121,7,true,0,0,
11,whole-plane,121,8,true,0,0,
11,whole-plane,121,9,true,0,0,
11,whole-plane,121,10,true,0,0,
11,whole-plane,121,inf,true,0,0,
11,greedy-cover,77,0,true,0,0,
11,greedy-cover,77,1,true,0,0,
11,greedy-cover,77,2,true,0,1,
11,greedy-cover,77,3,true,0,1,
11,greedy-cover,77,4,true,0,4,
11,greedy-cover,77,5,true,0,3,
11,greedy-cover,77,6,true,0,9,
11,greedy-cover,77,7,true,0,4,
11,greedy-cover,77,8,true,0,0,
11,greedy-cover,77,9,true,0,3,
11,greedy-cover,77,10,true,0,2,
11,greedy-cover,77,inf,true,0,7,
11,random-third,40,0,false,5,5,55 56 60 62 65
11,random-third,40,1,false,6,3,8 20 69 93 105 117
11,random-third,40,2,false,5,1,11 28 51 80 120
11,random-third,40,3,false,5,3,10 48 82 101 116
11,random-third,40,4,false,5,2,22 50 95 109 112
11,random-third,40,5,false,5,9,7 16 25 54 90
11,random-third,40,6,false,6,3,18 31 46 98 100 113
11,random-third,40,7,false,6,4,20 28 44 71 98 114
11,random-third,40,8,false,5,3,26 51 90 108 115
11,random-third,40,9,false,5,6,3 24 40 82 98
11,random-third,40,10,false,5,5,25 35 55 96 116
11,random-third,40,inf,false,5,1,23 56 89 100 111
11,random-half,60,0,false,3,5,61 62 64
11,random-half,60,1,false,3,2,9 106 118
11,random-half,60,2,false,3,1,11 51 97
11,random-half,60,3,false,3,2,3 18 90
11,random-half,60,4,false,2,5,38 97
11,random-half,60,5,false,3,0,38 85 112
11,random-half,60,6,false,3,9,45 97 112
11,random-half,60,7,false,4,3,9 25 95 111
11,random-half,60,8,false,4,6,27 66 109 116
11,random-half,60,9,false,2,0,95 116
11,random-half,60,10,false,2,10,40 90
11,random-half,60,inf,false,3,10,54 98 109
