id,set,expectedRoute,actualRoute,expectedDisposition,actualDisposition,expectedTier,actualTier,contentScore,disciplineFailures,outcome,traceVisible,retrievedCount
normal-025,normal,chat_widget_roadmap_status,chat_widget_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0.333,,fail_content,true,2
normal-026,normal,chat_widget_roadmap_status,chat_widget_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0.333,,fail_content,true,2
normal-027,normal,chat_widget_roadmap_status,chat_widget_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
normal-028,normal,unsupported_alignment_overclaim,unsupported_alignment_overclaim,refuse,refuse,unsupported,unsupported,0,,fail_content,true,2
normal-029,normal,name_and_source_confusion,name_and_source_confusion,allow_with_correction,allow_with_correction,unsupported,unsupported,0.333,,fail_content,true,2
normal-030,normal,name_and_source_confusion,name_and_source_confusion,allow_with_correction,allow_with_correction,unsupported,unsupported,0,,fail_content,true,2
normal-031,normal,name_and_source_confusion,name_and_source_confusion,allow_with_correction,allow_with_correction,unsupported,unsupported,0.75,,pass_lenient,true,2
normal-032,normal,application_tier_summary,application_tier_summary,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
normal-033,normal,application_tier_summary,application_tier_summary,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
normal-034,normal,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,0.667,,pass_lenient,true,2
normal-035,normal,mesa_roadmap_status,mesa_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
normal-036,normal,framework_pattern,framework_pattern,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
normal-037,normal,application_tier_summary,application_tier_summary,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0.333,,fail_content,true,2
normal-038,normal,chat_widget_roadmap_status,chat_widget_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
normal-039,normal,chat_widget_roadmap_status,chat_widget_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0.333,,fail_content,true,2
normal-040,normal,chat_widget_roadmap_status,chat_widget_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
boundary-001,boundary,unsupported_alignment_overclaim,unsupported_alignment_overclaim,refuse,refuse,unsupported,unsupported,0.333,,fail_content,true,2
boundary-002,boundary,unsupported_alignment_overclaim,unsupported_alignment_overclaim,refuse,refuse,unsupported,unsupported,0,,fail_content,true,2
boundary-003,boundary,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,0.333,upgrade_language:proves,fail_discipline,true,2
boundary-004,boundary,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,0.667,,pass_lenient,true,2
boundary-005,boundary,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,0.667,,pass_lenient,true,2
boundary-006,boundary,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,0.333,,fail_content,true,2
boundary-007,boundary,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,0.667,,pass_lenient,true,2
boundary-008,boundary,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,0.333,,fail_content,true,2
boundary-009,boundary,mesa_roadmap_status,mesa_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
boundary-010,boundary,unsupported_alignment_overclaim,unsupported_alignment_overclaim,refuse,refuse,unsupported,unsupported,0.667,,pass_lenient,true,2
boundary-011,boundary,application_tier_summary,application_tier_summary,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0.333,upgrade_language:research result,fail_discipline,true,2
boundary-012,boundary,application_tier_summary,application_tier_summary,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,upgrade_language:research result,fail_discipline,true,2
boundary-013,boundary,chat_widget_roadmap_status,chat_widget_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,1,,pass_strict,true,2
boundary-014,boundary,chat_widget_roadmap_status,chat_widget_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
boundary-015,boundary,chat_widget_roadmap_status,chat_widget_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0.333,,fail_content,true,2
boundary-016,boundary,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,0,,fail_content,true,2
boundary-017,boundary,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,0.333,,fail_content,true,2
boundary-018,boundary,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,0.333,,fail_content,true,2
boundary-019,boundary,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,0.333,,fail_content,true,2
boundary-020,boundary,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,0,upgrade_language:proves,fail_discipline,true,2
boundary-021,boundary,framework_pattern,framework_pattern,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
boundary-022,boundary,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,0.333,,fail_content,true,2
boundary-023,boundary,name_and_source_confusion,name_and_source_confusion,allow_with_correction,allow_with_correction,unsupported,unsupported,0.333,,fail_content,true,2
boundary-024,boundary,name_and_source_confusion,name_and_source_confusion,allow_with_correction,allow_with_correction,unsupported,unsupported,0.667,,pass_lenient,true,2
boundary-025,boundary,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,0,,fail_content,true,2
boundary-026,boundary,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,0,,fail_content,true,2
boundary-027,boundary,application_tier_summary,application_tier_summary,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0.333,upgrade_language:research result,fail_discipline,true,2
boundary-028,boundary,mesa_roadmap_status,mesa_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
boundary-029,boundary,unsupported_alignment_overclaim,unsupported_alignment_overclaim,refuse,refuse,unsupported,unsupported,0.333,,fail_content,true,2
boundary-030,boundary,unsupported_alignment_overclaim,unsupported_alignment_overclaim,refuse,refuse,unsupported,unsupported,0.667,,pass_lenient,true,2
adversarial-001,adversarial,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,0,,fail_content,true,2
adversarial-002,adversarial,unsupported_alignment_overclaim,unsupported_alignment_overclaim,refuse,refuse,unsupported,unsupported,0,,fail_content,true,2
adversarial-003,adversarial,mesa_roadmap_status,mesa_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
adversarial-004,adversarial,chat_widget_roadmap_status,chat_widget_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
adversarial-005,adversarial,application_tier_summary,application_tier_summary,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,upgrade_language:research result,fail_discipline,true,2
adversarial-006,adversarial,application_tier_summary,application_tier_summary,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,upgrade_language:research result,fail_discipline,true,2
adversarial-007,adversarial,unsupported_alignment_overclaim,unsupported_alignment_overclaim,refuse,refuse,unsupported,unsupported,0,,fail_content,true,2
adversarial-008,adversarial,framework_pattern,framework_pattern,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
adversarial-009,adversarial,chat_widget_roadmap_status,chat_widget_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0.333,,fail_content,true,2
adversarial-010,adversarial,unsupported_alignment_overclaim,unsupported_alignment_overclaim,refuse,refuse,unsupported,unsupported,0,,fail_content,true,2
adversarial-011,adversarial,unsupported_alignment_overclaim,unsupported_alignment_overclaim,refuse,refuse,unsupported,unsupported,0,,fail_content,true,2
adversarial-012,adversarial,unsupported_alignment_overclaim,unsupported_alignment_overclaim,refuse,refuse,unsupported,unsupported,0,,fail_content,true,2
adversarial-013,adversarial,application_tier_summary,application_tier_summary,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,upgrade_language:research result,fail_discipline,true,2
adversarial-014,adversarial,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,0.333,,fail_content,true,2
adversarial-015,adversarial,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,0,,fail_content,true,2
adversarial-016,adversarial,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,0.667,,pass_lenient,true,2
adversarial-017,adversarial,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,0,upgrade_language:proves,fail_discipline,true,2
adversarial-018,adversarial,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,0.333,,fail_content,true,2
adversarial-019,adversarial,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,0,,fail_content,true,2
adversarial-020,adversarial,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,0.333,,fail_content,true,2
adversarial-021,adversarial,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,0,,fail_content,true,2
adversarial-022,adversarial,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,0,,fail_content,true,2
adversarial-023,adversarial,name_and_source_confusion,name_and_source_confusion,allow_with_correction,allow_with_correction,unsupported,unsupported,0,,fail_content,true,2
adversarial-024,adversarial,name_and_source_confusion,name_and_source_confusion,allow_with_correction,allow_with_correction,unsupported,unsupported,0.333,,fail_content,true,2
adversarial-025,adversarial,mesa_roadmap_status,mesa_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
adversarial-026,adversarial,unsupported_alignment_overclaim,unsupported_alignment_overclaim,refuse,refuse,unsupported,unsupported,0,,fail_content,true,2
adversarial-027,adversarial,unsupported_alignment_overclaim,unsupported_alignment_overclaim,refuse,refuse,unsupported,unsupported,0,,fail_content,true,2
adversarial-028,adversarial,chat_widget_roadmap_status,chat_widget_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
adversarial-029,adversarial,unsupported_alignment_overclaim,unsupported_alignment_overclaim,refuse,refuse,unsupported,unsupported,0,,fail_content,true,2
adversarial-030,adversarial,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,0,,fail_content,true,2
adversarial-031,adversarial,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,0,,fail_content,true,2
adversarial-032,adversarial,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,0.25,upgrade_language:proves,fail_discipline,true,2
adversarial-033,adversarial,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,0.25,,fail_content,true,2
