# pyramidal 14E receipt radial analysis — rings NOT resolvable at 1M rays
# centre=(864,457) rmax=313 detrend_noise=0.862
# r_px	profile	detrend_snr
96	73.47	0.00
97	69.83	0.00
98	68.14	0.00
99	70.62	0.00
100	66.33	0.00
101	69.73	0.00
102	69.50	0.00
103	66.19	0.00
104	67.99	0.00
105	64.48	-0.13
106	66.08	0.07
107	64.55	-0.53
108	66.74	0.00
109	65.14	0.00
110	66.43	0.28
111	65.82	0.31
112	65.40	0.00
113	65.53	0.00
114	63.70	0.00
115	66.32	-0.25
116	63.86	0.24
117	63.31	0.00
118	66.59	0.00
119	62.65	-0.17
120	63.71	0.17
121	62.94	-0.04
122	64.02	0.01
123	65.09	0.03
124	62.83	0.00
125	63.66	0.00
126	62.60	0.00
127	61.47	0.00
128	61.10	0.00
129	61.23	-0.20
130	61.19	0.00
131	60.74	0.20
132	61.48	0.00
133	61.97	0.00
134	59.60	0.00
135	60.20	0.00
136	60.23	0.00
137	60.15	0.00
138	60.76	0.00
139	58.84	0.00
140	59.42	0.00
141	57.60	0.00
142	58.55	0.00
143	59.58	-0.05
144	58.47	0.03
145	58.99	0.02
146	57.80	0.00
147	58.42	0.00
148	58.66	0.00
149	58.16	0.00
150	58.30	0.00
151	56.67	0.00
152	56.59	0.00
153	57.65	0.00
154	55.77	0.00
155	55.91	0.00
156	56.51	-0.23
157	55.34	0.00
158	55.00	-0.13
159	56.27	-0.16
160	55.33	-0.04
161	55.90	0.28
162	55.79	0.00
163	56.21	0.28
164	54.76	0.00
165	56.37	0.00
166	54.56	-0.14
167	55.40	-0.09
168	55.43	-0.36
169	54.87	-0.15
170	55.17	0.11
171	55.24	-0.03
172	56.43	-0.07
173	54.82	-0.06
174	54.69	0.03
175	55.10	-0.36
176	55.59	-0.21
177	54.75	0.08
178	55.45	-0.02
179	55.87	-0.19
180	54.61	0.03
181	54.83	0.03
182	55.72	0.01
183	55.40	-0.06
184	55.77	0.26
185	54.14	0.18
186	55.95	0.25
187	55.26	0.00
188	55.54	0.35
189	54.62	0.07
190	55.66	0.30
191	54.65	-0.01
192	55.86	-0.05
193	54.17	-0.12
194	54.40	0.07
195	55.35	-0.26
196	55.27	0.04
197	54.42	0.14
198	55.27	-0.00
199	54.70	0.00
200	54.65	0.17
201	55.29	-0.05
202	54.63	0.09
203	54.13	0.00
204	55.10	-0.07
205	53.77	0.07
206	54.04	0.00
207	54.91	0.00
208	53.70	0.00
209	54.82	0.00
210	53.35	-0.12
211	53.82	0.12
212	53.95	-0.21
213	54.24	0.15
214	53.12	0.02
215	54.23	0.04
216	53.18	-0.11
217	53.86	-0.07
218	52.92	-0.11
219	53.17	-0.10
220	53.76	0.00
221	53.16	0.10
222	54.25	0.05
223	53.32	0.03
224	52.74	0.21
225	53.56	0.00
226	53.93	-0.00
227	53.08	0.00
228	52.67	0.00
229	52.76	0.00
230	52.86	-0.12
231	53.23	0.00
232	52.53	0.00
233	52.96	0.12
234	52.65	0.00
235	53.18	0.00
236	52.25	0.00
237	52.45	0.00
238	52.30	0.00
239	51.87	0.00
240	50.97	0.00
241	50.89	0.00
242	51.36	0.00
243	50.61	0.00
244	50.25	0.00
245	50.86	0.00
246	50.57	0.00
247	49.74	0.00
248	49.35	0.00
249	49.85	-0.16
250	48.84	-0.24
251	49.75	-0.27
252	49.40	-0.33
253	49.22	-0.24
254	49.07	-0.40
255	49.06	-0.47
256	48.73	-0.40
257	48.95	-0.45
258	49.31	-0.38
259	48.62	-0.32
260	49.25	-0.33
261	48.77	-0.31
262	48.63	-0.23
263	48.89	-0.37
264	48.72	-0.31
265	48.52	-0.16
266	48.94	-0.14
267	49.14	-0.16
268	48.93	-0.03
269	48.45	-0.10
270	48.99	-0.03
271	48.63	0.07
272	49.31	0.40
273	49.21	0.54
274	49.86	0.93
275	49.58	0.95
276	50.26	1.02
277	49.35	0.82
278	49.49	0.67
279	49.00	0.36
280	48.76	0.15
281	48.65	0.00
282	48.27	0.00
283	48.63	0.00
284	48.18	0.00
285	48.47	0.00
286	48.43	0.00
287	48.14	0.00
288	48.22	0.00
289	48.05	-0.05
290	48.32	-0.05
291	48.04	-0.04
292	47.92	-0.10
293	48.15	-0.20
294	47.70	-0.29
295	47.82	-0.32
296	47.64	-0.38
297	47.59	-0.33
298	47.76	-0.42
299	47.67	-0.30
300	47.18	-0.22
301	47.95	-0.18
302	47.71	-0.12
303	47.81	0.01
304	47.78	-0.18
305	47.70	-0.23
306	47.13	-0.28
307	47.31	-0.44
308	47.40	-0.46
309	47.04	-0.38
310	47.61	-0.39
311	47.47	-0.75
312	47.21	-11.65
