# Phase-15 ray-filtered receipt radial analysis -- >=3 rings NOT extractable by 1D profile
# receipt=pyr_w9_e3_x26_4M.png ring_snr_centre=(783,441) rmax=341 detrend_noise=1.508 outer_rings=[(211, 4.6)]
# r_px	contrast_profile	detrend_snr
242	19.627	0.00
243	19.515	0.00
244	19.199	0.00
245	19.183	0.00
246	18.782	0.00
247	18.627	0.00
248	18.074	0.00
249	18.090	0.00
250	18.462	-0.02
251	16.821	0.02
252	17.708	-0.00
253	18.189	-0.16
254	17.742	-0.02
255	17.219	-0.05
256	17.573	-0.08
257	17.334	-0.08
258	17.697	0.00
259	17.595	0.12
260	17.586	0.18
261	18.357	0.10
262	17.706	0.00
263	16.944	0.00
264	16.456	0.00
265	16.926	0.00
266	16.420	0.00
267	15.490	-0.03
268	16.170	-0.04
269	14.964	-0.11
270	16.616	0.00
271	15.617	0.00
272	16.075	0.18
273	15.723	-0.00
274	16.191	0.00
275	14.940	0.00
276	15.634	0.00
277	14.827	0.00
278	14.327	0.00
279	15.114	0.00
280	14.094	0.00
281	14.640	0.00
282	13.871	0.00
283	14.242	0.00
284	14.436	0.00
285	13.863	0.00
286	13.460	0.00
287	13.272	0.00
288	13.417	0.00
289	12.744	0.00
290	13.001	0.00
291	11.830	0.00
292	12.856	0.00
293	12.108	-0.06
294	12.394	0.06
295	11.796	0.00
296	12.313	0.00
297	11.626	0.00
298	12.001	0.00
299	11.070	0.00
300	11.235	0.00
301	10.894	0.00
302	11.384	0.00
303	10.976	0.00
304	10.722	0.00
305	10.746	0.00
306	10.450	0.00
307	10.171	0.00
308	10.144	0.00
309	9.893	0.00
310	9.604	0.00
311	9.805	0.00
312	9.689	0.00
313	9.684	0.00
314	8.993	0.00
315	8.648	0.00
316	9.046	0.00
317	9.143	-0.05
318	8.891	0.00
319	8.408	-0.04
320	8.766	-0.11
321	8.701	-0.06
322	8.563	-0.03
323	9.130	-0.05
324	8.514	-0.07
325	8.528	-0.06
326	8.443	-0.19
327	8.590	-0.19
328	8.050	-0.16
329	8.452	-0.19
330	8.681	-0.20
331	8.201	-0.09
332	8.412	-0.11
333	8.868	-0.17
334	8.186	-0.10
335	8.220	-0.10
336	8.716	-0.26
337	8.141	-0.23
338	7.414	-0.26
339	8.269	-1.24
340	7.905	-2.32
