i,dEdt,g,R,rho
26,0.004967753628310652,0.054519181022041306,-0.049551427393730654,0.47613277320113284
27,0.005789739153230014,0.056083953138058945,-0.05029421398482893,0.4727869951616025
28,0.005968056222562419,0.05738899680100587,-0.05142094057844345,0.47257577586066324
29,0.005569335725794114,0.0583267950823707,-0.05275745935657659,0.4749319300294937
30,0.00469895106337357,0.05873123623936522,-0.05403228517599165,0.47916457820581315
31,0.003516307827544196,0.05845432799147342,-0.05493802016392922,0.4844949510053132
32,0.0022282332841936786,0.057454835501774104,-0.055226602217580426,0.49011268701707844
33,0.0010308420444609667,0.055825015793249874,-0.05479417374878891,0.4953405821868311
34,2.5357671930764658e-05,0.05374185253333711,-0.053716494861406346,0.4998820116233613
35,-0.0008231027573371297,0.05139081976216378,-0.05221392251950091,0.5039723218223902
36,-0.001638304839134505,0.048925575732523784,-0.05056388057165829,0.5082335601177953
37,-0.0025268071261673394,0.04649170629463531,-0.04901851342080265,0.5132279411234508
38,-0.003485795284796353,0.0442859991817091,-0.04777179446650545,0.5189326462576151
39,-0.004375658255434477,0.04258839369110624,-0.046964051946540714,0.5244307021671947
40,-0.0049681927386207095,0.04172023327075653,-0.04668842600937724,0.528097885315048
41,-0.0050524306829633145,0.04193764872442947,-0.04699007940739278,0.5284075101720457
42,-0.004544619175105055,0.04331948570865787,-0.04786410488376293,0.5249201591293927
43,-0.0035247579284880745,0.04571780584037143,-0.04924256376885951,0.518559099669645
44,-0.0021684892362991842,0.048801394730057075,-0.05096988396635626,0.5108673020163323
45,-0.0006431315344172239,0.05216526187959201,-0.05280839341400923,0.5030632997041898
46,0.0009291328225146944,0.05543873884603906,-0.054509606023524365,0.49577468481395986
47,0.0024244470519364306,0.0583310709684454,-0.05590662391650897,0.489388585552352
48,0.003668587739724033,0.06060949411032818,-0.056940906370604144,0.48439568166201563
49,0.004460215036252803,0.062066987434577725,-0.05760677239832492,0.4813651085982404
50,0.004653972008408988,0.06254047253748331,-0.05788650052907432,0.4806772025821955
51,0.004230666717863353,0.06197796460484678,-0.05774729788698343,0.4823317709654132
52,0.0032955248845310675,0.06049426190335425,-0.057198737018823186,0.4859994863130721
53,0.0020091414594338025,0.058358279259424925,-0.05634913779999112,0.491242321068074
54,0.0005112327631800473,0.05590860395174958,-0.055397371188569536,0.497703480147694
55,-0.0011019964136585736,0.05344754762944043,-0.054549544043099,0.5051019726392261
56,-0.002737380075098335,0.0511792522612222,-0.05391663233632053,0.513023250556294
57,-0.004246242489664154,0.04922341592526979,-0.053469658414933945,0.5206744345563028
58,-0.005403555047846342,0.04767759932530514,-0.05308115437315148,0.5268143205900387
59,-0.00594768279554074,0.046665562549395335,-0.052613245344936076,0.5299544430563229
60,-0.005665951993001003,0.046324956668025004,-0.05199090866102601,0.5288150441133674
61,-0.00449223035831757,0.046738809921813354,-0.051231040280130924,0.522926596034687
62,-0.0025717458625215753,0.047861693580628875,-0.05043343944315045,0.5130817558479698
63,-0.0002461599832499148,0.04950159942337147,-0.049747759406621385,0.5012401086825737
64,0.002054705905026037,0.05138340081212898,-0.04932869490710294,0.48979911057181147
65,0.0039615563726103364,0.053257773191166195,-0.04929621681855586,0.4806855083247625
66,0.005262854612618786,0.05497633371195337,-0.04971347909933458,0.4748645332755274
67,0.005901616721211998,0.05647560995439773,-0.05057399323318573,0.4724351303251887
68,0.00591152133780895,0.057692697651058375,-0.051781176313249425,0.47300030991989783
69,0.005369232328710609,0.05850012374293427,-0.05313089141422366,0.4759509831512702
70,0.004393597732992721,0.05872694933642779,-0.05433335160343507,0.48056967080191265
71,0.003159892031557726,0.05824758360405292,-0.05508769157249519,0.48605953871539376
72,0.001879906191885522,0.05705878761839993,-0.055178881426514406,0.4916253330638342
73,0.000731400085153433,0.05528364316740321,-0.05455224308224978,0.49667048671373676
74,-0.00022157191583024177,0.05310863542929816,-0.0533302073451284,0.5010408414355829
75,-0.0010470029306786643,0.05071175838500985,-0.05175876131568852,0.5051088007250125
76,-0.0018752812156163368,0.04823955507773052,-0.05011483629334686,0.5095332866660786
77,-0.002789628439581089,0.04584582482621408,-0.048635453265795166,0.514762863584807
78,-0.003748694858357944,0.043749917090279894,-0.04749861194863784,0.5205411248698547
79,-0.004580399748288666,0.04225091830819927,-0.046831318056487936,0.5257088277933285
80,-0.005049199895299505,0.04166435204869655,-0.046713551943996054,0.5285659631377827
81,-0.004970170862701941,0.042206766689615,-0.04717693755231694,0.5278024439961078
82,-0.004306067795312743,0.043895108625209664,-0.04820117642052241,0.5233780754195161
83,-0.0031738538047482306,0.04652239581619073,-0.04969624962093896,0.5164929249956136
84,-0.0017559686002600328,0.04972460198811562,-0.05148057058837565,0.5086752907759376
85,-0.00020653888362918982,0.053097288067975874,-0.053303826951605064,0.5009705672895964
86,0.0013584869120562629,0.056290820363966015,-0.05493233345190975,0.49389296713207226
87,0.0028038214891792923,0.05903458518558548,-0.056230763696406186,0.48783753523337775
88,0.003941833935279776,0.06110481194548835,-0.05716297801020857,0.48333513318902643
89,0.004577439011533735,0.06230207471822521,-0.05772463570669147,0.48093158183154083
90,0.004595701073423247,0.06248654467463488,-0.05789084360121163,0.4809112776940627
91,0.0040157216574465,0.06164918342874374,-0.05763346177129724,0.48316720068241276
92,0.0029667007610496843,0.05995239929694308,-0.05698569853589339,0.4873150803030395
93,0.0016096164147155756,0.05769508754170247,-0.05608547112698689,0.4929266632474423
94,7.129692625887363e-05,0.055215601726721415,-0.05514430480046254,0.49967697994451765
95,-0.0015588614823940847,0.052792072534219026,-0.05435093401661311,0.5072746767734883
96,-0.003177400035689615,0.05060077170281589,-0.053778171738505506,0.5152205029622466
97,-0.004613988144538617,0.04874837748609267,-0.053362365630631285,0.522593059279102
98,-0.005626987659859979,0.0473369711655788,-0.05296395882543878,0.528050525854366
99,-0.00595855152709536,0.04649836668336513,-0.05245691821046049,0.5301072930742841
100,-0.005427399053496984,0.046363340520421875,-0.05179073957391886,0.5276473430767241
101,-0.004022231371325374,0.046985265186744965,-0.05100749655807034,0.5205231044605098
102,-0.0019485611148362253,0.04827633548996184,-0.050224896604798064,0.5098910494488114
103,0.0004133336882109345,0.050011956082365146,-0.04959862239415421,0.4979252520438461
104,0.002636054788970117,0.05191311052501286,-0.04927705573604274,0.4869747482074025
105,0.004388491451868211,0.05375434805693671,-0.0493658566050685,0.4787214762312959
106,0.00550633994410632,0.0554165843724463,-0.04991024442833998,0.47386069624045674
107,0.005964785823219292,0.05684596221014334,-0.05088117638692405,0.4723153055910571
108,0.005812164577097184,0.05796511974795936,-0.05215295517086217,0.4736093979967327
109,0.00513534477901631,0.05862839079213074,-0.05349304601311443,0.4770991840394607
110,0.004068079468447859,0.05866740561631471,-0.054599326147866854,0.4820420373878294
111,0.002800099108994411,0.057985318760304785,-0.055185219651310374,0.4876288513411056
112,0.0015424497030462753,0.056617139145168686,-0.05507468944212241,0.4930950646857715
113,0.00044790299429539604,0.05471153124472179,-0.054263628250426396,0.49794493076967994
114,-0.000458259827397646,0.05245855484344997,-0.05291681467084761,0.5021744162298547
115,-0.0012714316194289976,0.050026868876008226,-0.051298300495437224,0.5062740167488301
116,-0.002119692035406434,0.04755916493564428,-0.04967885697105071,0.5108995020355329
117,-0.00305673096516703,0.045222375832385614,-0.048279106797552644,0.5163458956969966
118,-0.004002187871569737,0.043259729915406886,-0.04726191778697662,0.5221062473626646
119,-0.004756841322600354,0.041984412493942996,-0.04674125381654335,0.5268064559016907
120,-0.005087001280840678,0.04169678840686292,-0.046783789687703595,0.528746428823079
121,-0.004841786220286935,0.04256566340024189,-0.04740744962052883,0.5269068506008523
122,-0.004031024756845775,0.04454411279842148,-0.04857513755526725,0.5216444222947189
123,-0.0028011715334705437,0.04737153747242865,-0.050172709005899194,0.5143584662068864
124,-0.0013335967326860779,0.05066055985498163,-0.051994156587667706,0.506495545352907
125,0.00023139378309138675,0.05401497009587958,-0.05378357631278819,0.49892673050425856
126,0.001778991302805219,0.05710794146578869,-0.05532895016298347,0.4920889341699394
127,0.0031595746561230917,0.059686061813107615,-0.05652648715698452,0.48640605216853033
128,0.004175825040163221,0.06153248349140238,-0.05735665845123916,0.4824381563701676
129,0.004646186441229848,0.062458249888252715,-0.05781206344702287,0.48068440036288196
130,0.004490591723257123,0.062352728674317716,-0.05786213695106059,0.48132264383486895
131,0.0037644285547355355,0.06125326098001625,-0.05748883242528072,0.48414871909876733
132,0.0026143803856517947,0.059367075457221204,-0.05675269507156941,0.48874274219736086
133,0.001196388207795017,0.057015174228945795,-0.05581878602115078,0.49469845689567565
134,-0.00037580181556975956,0.05452758875179995,-0.05490339056736971,0.5017170723405192
135,-0.0020152673577626123,0.052154952016035455,-0.05417021937379807,0.5094769062274717
136,-0.0036038583971917254,0.05004843003430504,-0.05365228843149677,0.5173762460400899
137,-0.004949190842076165,0.048307116060413324,-0.05325630690248949,0.524365025802074
138,-0.005797414526417244,0.04704048454188398,-0.052837899068301226,0.5290223685890029
139,-0.005901843776738108,0.04638590043003476,-0.05228774420677287,0.5299058770883618
140,-0.005120082971855483,0.04646099614257519,-0.051581079114430675,0.5261116615414034
141,-0.0034995674354634937,0.047284203860314164,-0.05078377129577766,0.5178425598667319
142,-0.001302857029765278,0.04872560577102734,-0.050028462800792615,0.5065964726750359
143,0.0010614535394567332,0.05053470954163101,-0.049473256002174275,0.49469315502177774
144,0.0031800542512935223,0.05243748016997889,-0.049257425918685364,0.484364731855296
145,0.0047656264980379115,0.054236685042866564,-0.04947105854482865,0.4770237673042799
146,0.00569857205176956,0.055839055142057135,-0.050140483090287576,0.47311475334381875
147,0.0059806419357461005,0.05719287694772433,-0.05121223501197823,0.4724153140583938
148,0.00567210481793895,0.05820256030582728,-0.05253045548788833,0.47438837560197267
149,0.004870975348904447,0.058708057454931045,-0.0538370821060266,0.47835990355555874
150,0.0037269133701008025,0.0585513972172088,-0.054824483847107995,0.48356390558946766
151,0.0024414554213381956,0.057669421822250766,-0.05522796640091257,0.4891872812127762
152,0.0012183970815728834,0.05613380986640486,-0.054915412784831974,0.4945141575398533
153,0.00017972387567961878,0.0541128120098562,-0.053933088134176584,0.4991682984942509
154,-0.0006875672296136268,0.05179489843662003,-0.05248246566623366,0.5032968191876017
155,-0.0014990499309106287,0.049339063214065594,-0.05083811314497622,0.5074819933311852
156,-0.0023718050898838966,0.04688836973283844,-0.04926017482272234,0.5123340665261621
157,-0.0033252432556737516,0.04462730041175497,-0.047952543667428724,0.5179587862171687
158,-0.004241201035402868,0.04282259483631172,-0.04706379587171459,0.523592008767931
159,-0.00490002397876628,0.041794887544512785,-0.046694911523279065,0.5276869426215579
160,-0.005079384625913078,0.04181976645835492,-0.046899151084267995,0.5286262770478055
161,-0.004668903799345044,0.043011468287988026,-0.04768037208733307,0.5257404843700555
162,-0.003723481466716104,0.04525936511521196,-0.048982846581928065,0.5197548497624505
163,-0.0024104906190029612,0.048256290490612946,-0.05066678110961591,0.5121836624157018
164,-0.0009039062875829257,0.05160107774874552,-0.052504984036328445,0.5043412759645497
165,0.0006682373761752111,0.054912014019693096,-0.054243776643517885,0.49693906584288783
166,0.002186968535546563,0.057885165739534006,-0.05569819720398744,0.4903728482813367
167,0.003487155470294878,0.06028099963395071,-0.056793844163655835,0.48510715300921814
168,0.0043670674106454505,0.061888707518332677,-0.057521640107687226,0.48171403275567615
169,0.004665786513343768,0.0625339720780505,-0.057868185564706735,0.48062415738766273
170,0.004340905807479201,0.06214118414016266,-0.05780027833268346,0.48190406504146993
171,0.0034804201355634404,0.06079595125678998,-0.05731553112122654,0.4852663768776335
172,0.0022417084810699914,0.05874579857166315,-0.05650409009059316,0.49027457420093745
173,0.0007714667045260679,0.05632533052649834,-0.05555386382197227,0.49655223337538895
174,-0.0008282871057241903,0.05384909217192589,-0.05467737927765008,0.5038160602416205
175,-0.0024682380175450533,0.051538677183420055,-0.05400691520096511,0.5116927574225744
176,-0.004011966737553226,0.04952415193672487,-0.05353611867427809,0.5194641771934417
177,-0.005246036743720428,0.04790223918771835,-0.053148275931438775,0.5259574962954636
178,-0.005909854559478449,0.04679128723543833,-0.05270114179491678,0.5297000214844255
179,-0.005775620773111348,0.04633032018432039,-0.052105940957431734,0.529336855677575
180,-0.0047467271809892506,0.04661729177665634,-0.05136401895764559,0.52422261523864
181,-0.0029315379317874785,0.047631593330372535,-0.05056313126216001,0.5149271661178956
182,-0.0006442099475740745,0.0492033757666615,-0.04984758571423557,0.503251911631864
183,0.001689794530942014,0.051064164241435984,-0.04937436971049397,0.4915879171845004
184,0.003681871951059984,0.05295316299724965,-0.049271291046189665,0.481991236903572
185,0.005091701364530438,0.054703573515668666,-0.04961187215113823,0.4755946910259397
186,0.005840305242087937,0.0562426777668432,-0.05040237252475526,0.47261802012320847
187,0.005950759767093576,0.05751371366660483,-0.05156295389951125,0.4727221233473851
188,0.00549373857192631,0.05840112813542974,-0.05290738956350343,0.475322020787368
189,0.00457980642718242,0.05873604741318508,-0.05415624098600266,0.4797160351157548
190,0.0033747954655707624,0.058378583521456334,-0.05500378805588557,0.48511763593131096
191,0.002088134660999885,0.057302512155794065,-0.05521437749479418,0.4907207945958851
192,0.000909442686034212,0.05561295389328186,-0.054703511207247646,0.49587802833781225
193,-7.456851707503265e-05,0.05349142794982665,-0.05356599646690168,0.5003482641091045
194,-0.0009125660573362435,0.05112074133881709,-0.05203330739615333,0.5044233167215805
195,-0.0017320244995017858,0.048651395863934445,-0.05038342036343623,0.5087445232165893
196,-0.0026310174976277717,0.04623165039283694,-0.048862667890464714,0.5138337260581097
197,-0.003591519198820184,0.04406703799457137,-0.04765855719339156,0.5195775191834977
198,-0.004460417631060226,0.042445632810016204,-0.04690605044107643,0.5249598970537899
199,-0.005005515997916592,0.041687538995879465,-0.04669305499379606,0.5283179585696229
