task_id,split,status,primary_prior,secondary_priors,inclusion_basis,exclusion_reason,predicted_boundary,inventory_row_hash,manual_inspection,notes,expansion_batch,selection_order_rank
0c9aba6e,training,include,spatial_transform,color_role;counting;local_completion;objectness,grids 6x4..13x4; 5 colors; up to 12 components; 4 train shape-change(s); density 0.25..0.5577,,capacity pressure (shape change carries structural info),10c7635a134af6d3bb4242731455cbf94257407f57d22fb2b83e30c8b8ccd20d,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
0e671a1a,training,include,local_completion,color_role;counting;objectness,grids 13x13..13x13; 5 colors; up to 5 components; density 0.0178..0.1598,,non-local information (global context required to fill),534e1e7aa62f7c79bbae6cdbc195ab7f570fe96f8bca1a6d965cb84dc66dc436,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
11dc524f,training,include,objectness,color_role;counting,grids 13x13..13x13; 3 colors; up to 5 components; density 1..1,,full-state-only dependency (residual category),d3af66b42ae728ba60aa3834d0282271b86053e4ee0a387f76b0ecdbc3a891e4,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
11e1fe23,training,include,local_completion,color_role;counting;objectness,grids 10x11..12x14; 8 colors; up to 7 components; density 0.0179..0.0583,,non-local information (global context required to fill),6d0ed890875bd4c5e2f595911059fb421fc83bb1baf0fa6335a4a24dfa8fc4ba,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
13713586,training,include,local_completion,color_role;counting;objectness,grids 16x15..19x18; 8 colors; up to 5 components; density 0.0956..0.5965,,non-local information (global context required to fill),a51a243ddc78df54b86f857ca0ae6ae69931633da49108fea692fc6de5de7aa5,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
137eaa0f,training,include,spatial_transform,color_role;counting;local_completion;objectness,grids 3x3..11x11; 10 colors; up to 10 components; 3 train shape-change(s); density 0.0744..1,,capacity pressure (shape change carries structural info),f99adaf6943b2ee01a36c2bd255d6cfcd038b1f2d5df1703c25f7014283dfc2d,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
150deff5,training,include,objectness,color_role;counting;local_completion,grids 8x9..9x11; 4 colors; up to 6 components; density 0.1944..0.2727,,full-state-only dependency (residual category),cd5415f8f1e8c994729bda6b0f5559226d35a60bbb196332058866e6b38e380e,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
1acc24af,training,include,objectness,color_role;counting;local_completion,grids 12x12..12x12; 4 colors; up to 5 components; density 0.1597..0.2708,,full-state-only dependency (residual category),dfc691f758e2680bfa84ba600583b498a0b21f97576fdabd72aba6f31f874359,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
1b60fb0c,training,include,objectness,color_role;local_completion,grids 10x10..10x10; 3 colors; up to 2 components; density 0.22..0.49,,full-state-only dependency (residual category),618e78d53d3ad6faba347f67233d4f2a5af0df9aaa5f1b3ed367cf897b8ddd24,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
2601afb7,training,include,color_role,counting;objectness,grids 7x7..11x11; 9 colors; up to 6 components; density 0.9174..1,,gauge-breaking ambiguity (color permutation as gauge),9b37a3f34fedd2c9cd66277d87d23cfe5fa31b1cb70b6c610f106d762f9048b7,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
292dd178,training,include,color_role,counting;objectness,grids 7x9..11x15; 6 colors; up to 7 components; density 1..1,,gauge-breaking ambiguity (color permutation as gauge),acfd301643fa10432a5002f88b08e52195d58361c41ced96557ddd23ed81e392,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
2bee17df,training,include,objectness,color_role;counting,grids 10x10..14x14; 4 colors; up to 3 components; density 0.4031..0.875,,full-state-only dependency (residual category),9419481b5c299c9f63b5bb2c918f977ab3714c55b25c7398fd29b3de7ca88e95,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
37d3e8b2,training,include,color_role,counting;local_completion;objectness,grids 17x16..19x18; 6 colors; up to 6 components; density 0.2941..0.4444,,gauge-breaking ambiguity (color permutation as gauge),d80bbe8a2767b96b97896a80609e96620de9be421d1c5a93d4469e1ba3013904,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
3906de3d,training,include,objectness,color_role;counting;local_completion,grids 10x10..10x10; 3 colors; up to 5 components; density 0.21..0.43,,full-state-only dependency (residual category),af4c4a3b51d0aee0fa7e971b7bfeda266f3ce6b5f1b4d58ec4b3726358dea00a,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
3ad05f52,training,include,color_role,counting;local_completion;objectness,grids 22x24..29x28; 6 colors; up to 6 components; density 0.2203..0.5934,,gauge-breaking ambiguity (color permutation as gauge),a058292cea3e5cdccbf8a7cbdb34203fe3a801f043ed2796c703fce83cfdedc2,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
e98196ab,training,include,objectness,,grids 5x11..11x11; 8 colors; up to 18 components; symmetries: reflect_h; 3 train shape-change(s); density 0.1818..0.3455,,full-state-only dependency (residual category),0e4374d17db9a4785c00f1b4659ba61e5bf8b680b4c142aa37ab0224bb6464b3,y,fiber expansion manual inspection: overlay/merge two divider-split regions into one,fiber_context_expansion_v1,1
b7cb93ac,training,include,objectness,,grids 3x4..10x13; 6 colors; up to 5 components; symmetries: reflect_v; 3 train shape-change(s); density 0.0923..1,,full-state-only dependency (residual category),5d01651425b27cc2c83292ee44bee3a112152c015c04a9fe1e693d86c98e0688,y,fiber expansion manual inspection: combine scattered objects into compact composite,fiber_context_expansion_v1,3
6f473927,training,include,objectness,spatial_transform,grids 3x3..12x12; 3 colors; up to 9 components; symmetries: reflect_v; 4 train shape-change(s); density 0.25..0.5556,,full-state-only dependency (residual category),a7815591d63666d2f701ac7dc40f30047e9cda417596b73acedcf0866b12440b,y,fiber expansion manual inspection: append color-inverted complement mask of object,fiber_context_expansion_v1,6
d9fac9be,training,include,objectness,,grids 1x1..12x12; 6 colors; up to 21 components; symmetries: rot180; 4 train shape-change(s); density 0.2222..1,,full-state-only dependency (residual category),d85b9f80d9118609c19f47c695727f14e7b2ee7669d87cc1597ab9e8550318f3,y,fiber expansion manual inspection: return color of enclosed/surrounded object,fiber_context_expansion_v1,9
72ca375d,training,include,objectness,,grids 2x2..10x10; 9 colors; up to 4 components; symmetries: reflect_h;reflect_v;rot180; 3 train shape-change(s); density 0.15..1,,full-state-only dependency (residual category),ec2df37f59f0299b48304b772a408463859b99982f59560d87874cdb13d9d308,y,fiber expansion manual inspection: extract distinguished object to bounding box,fiber_context_expansion_v1,11
be94b721,training,include,objectness,,grids 3x2..9x13; 9 colors; up to 4 components; symmetries: reflect_h;reflect_v;rot180; 4 train shape-change(s); density 0.1868..1,,full-state-only dependency (residual category),b26afca2ae25b1b61b87b1fad7b84730d3bb85d99cabe368708bbfd2d30ad6ad,y,fiber expansion manual inspection: select and extract one object bbox,fiber_context_expansion_v1,13
12997ef3,training,include,objectness,color_role,grids 3x3..12x14; 8 colors; up to 9 components; symmetries: reflect_h;reflect_v; 4 train shape-change(s); density 0.0496..0.6667,,full-state-only dependency (residual category),a70fbd4b11b4ca74597422d394d37f991179070dc83cf9307b60b572f165f2b9,y,fiber expansion manual inspection: stamp template object once per colored marker,fiber_context_expansion_v1,14
5614dbcf,training,include,objectness,spatial_transform,grids 3x3..9x9; 9 colors; up to 11 components; symmetries: reflect_h; 2 train shape-change(s); density 0.2222..0.5802,,full-state-only dependency (residual category),22179b84bad2572bdee2353500db7c4500b32e479bc5beb942fdb65353bcf74b,y,fiber expansion manual inspection: summarize each block region to one colored cell,fiber_context_expansion_v1,18
5117e062,training,include,objectness,,grids 3x3..13x13; 8 colors; up to 8 components; symmetries: reflect_h;reflect_v;rot180; 3 train shape-change(s); density 0.1065..0.6667,,full-state-only dependency (residual category),37cbea8bd8c5122b9ce5e8e5f4e1b388d38f1d4cc78cf0aafd0ef39a6d20b59e,y,fiber expansion manual inspection: select object by property and extract bbox,fiber_context_expansion_v1,25
cd3c21df,training,include,objectness,,grids 2x1..13x13; 9 colors; up to 11 components; symmetries: reflect_h;reflect_v;rot180; 3 train shape-change(s); density 0.1183..1,,full-state-only dependency (residual category),9b55174c86d2f7c68c5644bed16c0db0d46a8ff6cfc0f66853bf508849846723,y,fiber expansion manual inspection: select distinguished object and extract bbox,fiber_context_expansion_v1,26
b0f4d537,training,include,objectness,spatial_transform,grids 7x7..12x15; 6 colors; up to 24 components; symmetries: reflect_h; 4 train shape-change(s); density 0.3333..0.5556,,full-state-only dependency (residual category),c97f0893f76a085bec8757b6c97d791a724833a3c90220832f21043bc8ab4a16,y,fiber expansion manual inspection: expand compact key into structured line grid,fiber_context_expansion_v1,30
3f7978a0,training,include,objectness,,grids 5x4..14x13; 3 colors; up to 21 components; symmetries: reflect_h;reflect_v;rot180; 3 train shape-change(s); density 0.1818..0.575,,full-state-only dependency (residual category),cbd059d15b2996a4d4b6311f57b671edbea01139c9fcaa2369d0ce6259ce60b4,y,fiber expansion manual inspection: denoise and extract the one valid framed object,fiber_context_expansion_v1,32
8e1813be,training,include,counting,color_role,grids 3x3..19x19; 9 colors; up to 11 components; symmetries: reflect_h;reflect_v; 3 train shape-change(s); density 0.3333..1,,capacity pressure (count is high-entropy),a9983367f93a86680113b937813e4551f2ea875bb71025f06a1dc8cea16253ec,y,fiber expansion manual inspection: collect stripe colors into count-sized grid,fiber_context_expansion_v1,7
d5c634a2,training,include,counting,objectness,grids 3x4..15x15; 4 colors; up to 7 components; symmetries: reflect_v; 7 train shape-change(s); density 0.1111..0.4,,capacity pressure (count is high-entropy),25c43ebdf769a301fc12c7e718bc6c85aa1c32370f0915cf5283fc85807b56f4,y,fiber expansion manual inspection: tally object orientations into schematic grid,fiber_context_expansion_v1,8
feca6190,training,include,counting,,grids 1x5..20x20; 8 colors; up to 70 components; symmetries: rot180; 5 train shape-change(s); density 0.12..0.8,,capacity pressure (count is high-entropy),b86bc50c45e569fab6e79684e7a3d9c6da17bf6bffe535b961ed72a6cee840dc,y,fiber expansion manual inspection: grid size equals five times nonzero-cell count,fiber_context_expansion_v1,14
351d6448,training,include,counting,spatial_transform,grids 3x13..15x13; 5 colors; up to 11 components; symmetries: reflect_v; 2 train shape-change(s); density 0.0769..0.7128,,capacity pressure (count is high-entropy),198315230da85b80d5c0bd060afd9b7cda75d0eb70a61f7d3b9dafadc47a6404,y,fiber expansion manual inspection: extrapolate next term of growing-bar progression,fiber_context_expansion_v1,16
5289ad53,training,include,counting,,grids 2x3..15x19; 6 colors; up to 7 components; symmetries: reflect_h; 4 train shape-change(s); density 0.1467..1,,capacity pressure (count is high-entropy),be5743be2b714fe7828b5858bc03d236d264d8752f362a6b504aafabfb0b894f,y,fiber expansion manual inspection: tally per-color object counts as grid,fiber_context_expansion_v1,17
91413438,training,include,counting,spatial_transform,grids 3x3..21x21; 6 colors; up to 8 components; symmetries: reflect_h; 4 train shape-change(s); density 0.0091..0.6667,,capacity pressure (count is high-entropy),c4d7f013f37da62cef416672587997b17100086f3b8953c47ac175c52c160c64,y,fiber expansion manual inspection: tile motif once per colored cell,fiber_context_expansion_v1,26
a3325580,training,include,counting,,grids 3x1..10x10; 10 colors; up to 5 components; symmetries: reflect_v;rot180; 6 train shape-change(s); density 0.06..1,,capacity pressure (count is high-entropy),39f3430b4e4a1abd30fde8768e9bf10c47227dd6aff63d5e86a2217637663c4d,y,fiber expansion manual inspection: output dims encode object/color counts,fiber_context_expansion_v1,35
8597cfd7,training,include,counting,,grids 2x2..11x9; 4 colors; up to 5 components; symmetries: reflect_h;reflect_v;rot180; 4 train shape-change(s); density 0.202..1,,capacity pressure (count is high-entropy),054bd11e98b5844e97d61d10a6c27b9548fed8a64ba4d7d4f8e112486e3f4207,y,fiber expansion manual inspection: compare marks across divider output winner color,fiber_context_expansion_v1,39
4852f2fa,training,include,counting,,grids 3x3..9x12; 3 colors; up to 6 components; symmetries: reflect_h;reflect_v;rot180; 5 train shape-change(s); density 0.0741..0.6667,,capacity pressure (count is high-entropy),7e80311512738a090447ef42c79c7c2bf4e5ddfa6f1e3d661b2e79d154023f6b,y,fiber expansion manual inspection: repeat object once per counted marker,fiber_context_expansion_v1,44
c8b7cc0f,training,include,counting,,grids 3x3..9x9; 6 colors; up to 11 components; symmetries: reflect_h; 3 train shape-change(s); density 0.3333..0.5556,,capacity pressure (count is high-entropy),93bf919283042d77ecca671a58ca70dc2de876dcc5544c1dffe9240dc0b93de4,y,fiber expansion manual inspection: render interior cell count as filled cells,fiber_context_expansion_v1,46
3b4c2228,training,include,counting,,grids 3x3..8x8; 4 colors; up to 11 components; symmetries: rot180; 5 train shape-change(s); density 0.1111..0.52,,capacity pressure (count is high-entropy),d58fbe4932800ca7c058edb56a9bad20a3f647cdbae37421767e8957c6d20c48,y,fiber expansion manual inspection: count matched object pairs as diagonal marks,fiber_context_expansion_v1,52
d631b094,training,include,counting,,grids 1x1..3x5; 6 colors; up to 3 components; symmetries: reflect_h;reflect_v;rot180; 4 train shape-change(s); density 0.1111..1,,capacity pressure (count is high-entropy),0b54bceae83d411592b6022c80d96799304953919d000eef9f4d0d0cd0c279bb,y,fiber expansion manual inspection: output row length equals colored-cell count,fiber_context_expansion_v1,65
3af2c5a8,training,include,symmetry,,grids 3x4..6x8; 4 colors; up to 12 components; symmetries: reflect_h;reflect_v;rot180; 3 train shape-change(s); density 0.3333..0.5833,,gauge-breaking ambiguity (symmetry as gauge),fa5de6e0e832fa7512dde99b98497173a17fa32a54de4e7802fd16a7c1775686,y,fiber expansion manual inspection: mirror input across both axes (4-fold),fiber_context_expansion_v1,20
47c1f68c,training,include,symmetry,,grids 6x6..13x13; 6 colors; up to 16 components; symmetries: reflect_h;reflect_v;rot180; 3 train shape-change(s); density 0.1893..0.4444,,gauge-breaking ambiguity (symmetry as gauge),24bb6b6b9d63d3734e91a29d9cfbda343bad612679c1d3e177847ec1141a69bc,y,fiber expansion manual inspection: reflect one quadrant into four symmetric quadrants,fiber_context_expansion_v1,39
b8cdaf2b,training,include,symmetry,local_completion,grids 3x3..9x9; 7 colors; up to 10 components; symmetries: reflect_h; density 0.1481..0.6667,,gauge-breaking ambiguity (symmetry as gauge),00e27dcb199df0de04bad0ef4208c86cb2f1e2c013f0b4763e9396c53b80989b,y,fiber expansion manual inspection: reflect edge shape into symmetric rays,fiber_context_expansion_v1,74
c48954c1,training,include,symmetry,spatial_transform,grids 3x3..9x9; 8 colors; up to 49 components; symmetries: rot180; 3 train shape-change(s); density 1..1,,gauge-breaking ambiguity (symmetry as gauge),42be16737f6357f394fca49e871667ad3bcf56c1d8e0be8c9a0b3f82a3c47d89,y,fiber expansion manual inspection: reflective D4 tiling of 3x3 into 9x9,fiber_context_expansion_v1,76
f25fbde4,training,include,symmetry,spatial_transform,grids 6x6..9x10; 2 colors; up to 7 components; symmetries: reflect_h;reflect_v;rot180; 3 train shape-change(s); density 0.0494..0.6667,,gauge-breaking ambiguity (symmetry as gauge),c6565572dfd3ca82cb2955be62255d50e899df28e4b0eca6a77841d4e710e961,y,fiber expansion manual inspection: reflect shape into four symmetric quadrants,fiber_context_expansion_v1,80
db3e9e38,training,include,symmetry,local_completion,grids 5x7..9x9; 3 colors; up to 9 components; symmetries: reflect_h; density 0.0864..0.5185,,gauge-breaking ambiguity (symmetry as gauge),e476af51bed92f6d5515c1b273e9375376b7a2f65c4d7aab70485e246f9abc60,y,fiber expansion manual inspection: symmetric triangular spread about a line,fiber_context_expansion_v1,81
54d82841,training,include,symmetry,local_completion,grids 5x5..8x11; 6 colors; up to 6 components; symmetries: reflect_h; density 0.1563..0.3429,,gauge-breaking ambiguity (symmetry as gauge),1491814c4b9e5117274e76c8f2eaf1c814a79fd1c405cc70a3971b21b11e2f89,y,fiber expansion manual inspection: complete bracket by reflected mirror point,fiber_context_expansion_v1,82
73c3b0d8,training,include,symmetry,local_completion,grids 6x3..12x8; 3 colors; up to 11 components; symmetries: reflect_h; density 0.1146..0.2857,,gauge-breaking ambiguity (symmetry as gauge),a864f760a2f7b9e2b74efd572eef75cd73ef0403f2c9d458db91595928938e84,y,fiber expansion manual inspection: reflect scattered dots across divider line,fiber_context_expansion_v1,89
b15fca0b,training,include,symmetry,local_completion,grids 5x5..10x10; 4 colors; up to 8 components; symmetries: reflect_h;rot180; density 0.25..0.88,,gauge-breaking ambiguity (symmetry as gauge),5d75d3b50befb0dba4f1f97e087645eb53e0ad6766c180caf51a4cc7613fd926,y,fiber expansion manual inspection: fill missing symmetric half by reflection,fiber_context_expansion_v1,96
496994bd,training,include,symmetry,,grids 10x3..10x6; 5 colors; up to 4 components; symmetries: reflect_h;reflect_v;rot180; density 0.2..0.6,,gauge-breaking ambiguity (symmetry as gauge),bc8f9b0a348d06d87a8733e079e965afe0d22af666dd30c75d8d7650d24da886,y,fiber expansion manual inspection: reflect top color bars across horizontal axis,fiber_context_expansion_v1,104
62b74c02,training,include,symmetry,spatial_transform,grids 3x10..4x14; 5 colors; up to 20 components; symmetries: reflect_h;rot180; density 0.25..1,,gauge-breaking ambiguity (symmetry as gauge),dde48f729e91dde7cff54ade113e91aa2381198bf80bea333fcc80903f934bca,y,fiber expansion manual inspection: mirror edge pattern across to opposite edge,fiber_context_expansion_v1,106
0c786b71,training,include,symmetry,,grids 3x4..6x8; 8 colors; up to 24 components; symmetries: reflect_h;reflect_v;rot180; 3 train shape-change(s); density 1..1,,gauge-breaking ambiguity (symmetry as gauge),c8603dee1510e0ea512178b245688a32737fede347e660a83779c5bba34f5a0c,y,fiber expansion manual inspection: reflect block into four symmetric quadrants,fiber_context_expansion_v1,113
ce8d95cc,training,include,spatial_transform,,grids 5x3..12x13; 9 colors; up to 19 components; symmetries: reflect_h; 4 train shape-change(s); density 0.2593..0.6825,,capacity pressure (shape change carries structural info),c5c1d09d1edfadb33ad90ff5b9f65d46f633bc4fa91cddbc66eaed08bc251c9e,y,fiber expansion manual inspection: collapse duplicate rows and columns,fiber_context_expansion_v1,1
f5b8619d,training,include,spatial_transform,,grids 2x2..12x12; 6 colors; up to 16 components; symmetries: rot180; 3 train shape-change(s); density 0.0833..0.75,,capacity pressure (shape change carries structural info),237218db26f9074dd47531eacbc86d8d562f58c90cc8db752d521f676d45eb2a,y,fiber expansion manual inspection: scale grid 2x with per-cell texture,fiber_context_expansion_v1,7
73182012,training,include,spatial_transform,symmetry,grids 4x4..12x12; 8 colors; up to 29 components; symmetries: reflect_h;reflect_v;rot180; 3 train shape-change(s); density 0.25..0.75,,capacity pressure (shape change carries structural info),e3051177f18d2111000b68a83d0fd27e5819a54b9ac2aa372f446eb99b5253ed,y,fiber expansion manual inspection: crop symmetric blob to its quadrant unit,fiber_context_expansion_v1,10
10fcaaa3,training,include,spatial_transform,,grids 2x3..12x10; 7 colors; up to 28 components; symmetries: rot180; 4 train shape-change(s); density 0.0625..0.5833,,capacity pressure (shape change carries structural info),7e4749022f01e3a9cb527f54a0fff291d74625589bd63c45b8c74b0f34793ec5,y,fiber expansion manual inspection: scale 2x with checkerboard texture fill,fiber_context_expansion_v1,19
2013d3e2,training,include,spatial_transform,symmetry,grids 3x3..10x10; 9 colors; up to 17 components; symmetries: reflect_h;reflect_v;rot180; 2 train shape-change(s); density 0.2..0.6667,,capacity pressure (shape change carries structural info),cd4a104f4ff07ae111e51b335dac93f517366a4d188b4217f5cbd03650894fb7,y,fiber expansion manual inspection: crop symmetric blob to its quadrant unit,fiber_context_expansion_v1,22
