beta,config_idx,mean_W14,mean_W23,sigma2_W14,sigma2_W23,ratio_W23_W14,gamma_held,sigma2_W33,sample_count,half_A_sample_count,half_B_sample_count
2.0,23,0.046159944968,0.008368313981,0.252123195387,0.253587392604,0.181289513812,0.463844060517,0.243496539434,5184,2592,2592
2.0,24,0.0419993818,0.003113771267,0.244043519055,0.249357735388,0.074138502379,4.111689055769,0.255382153748,5184,2592,2592
2.0,25,0.053952030473,0.020520925027,0.248930767247,0.256240442091,0.380355008819,0.344505959128,0.250901034456,5184,2592,2592
2.0,26,0.037784822716,0.008524504797,0.246945275245,0.242904765845,0.225606584449,4.118712175964,0.248855637934,5184,2592,2592
2.0,27,0.057050287352,0.005729639441,0.249139430377,0.25651713675,0.100431386187,0.687891511173,0.256803395485,5184,2592,2592
2.0,28,0.038048531114,0.010054694952,0.24846009247,0.252625584676,0.264259740315,0.285279366775,0.246510293054,5184,2592,2592
2.0,29,0.05915726221,0.008728104578,0.250037349047,0.252493335136,0.147540711861,0.794512316792,0.246492802231,5184,2592,2592
2.0,30,0.03174551457,0.015142507977,0.247049862919,0.24892221026,0.476996772063,0.249690115719,0.248109035563,5184,2592,2592
2.0,31,0.04813507,-0.003522661937,0.251840871037,0.246245810601,-0.073182856854,3.682756491553,0.256961373662,5184,2592,2592
2.4,0,0.086101208384,0.021538355991,0.243402847127,0.250915422519,0.250151611054,4.294822754603,0.24889546042,5184,2592,2592
2.4,1,0.102683548994,0.035115078859,0.24611941365,0.249138988637,0.34197375532,0.608043536867,0.253261951985,5184,2592,2592
2.4,2,0.078356670574,0.041526102536,0.244131721513,0.25247572008,0.529962570275,4.29473645098,0.252280492712,5184,2592,2592
2.4,3,0.08460053915,0.019904551976,0.244271796738,0.248886401759,0.235276892752,0.503211876091,0.246738484391,5184,2592,2592
2.4,4,0.099096482103,0.029311514838,0.248264475981,0.247723845459,0.295787642666,0.344552075524,0.252265824779,5184,2592,2592
2.4,5,0.070139076139,0.026628139286,0.248563603265,0.254957639544,0.379647704979,4.262634059023,0.253209604601,5184,2592,2592
2.4,6,0.070473388924,0.019465591729,0.244072619368,0.252535621862,0.27621194363,0.664463217328,0.252526390316,5184,2592,2592
2.4,7,0.076519589136,0.029592589881,0.242164465489,0.246166162907,0.386732210857,0.385038922835,0.248670882479,5184,2592,2592
2.4,8,0.070320381393,0.018877851635,0.246373568085,0.253352642914,0.26845490967,1.356679258594,0.251698585492,5184,2592,2592
2.4,9,0.092597500724,0.021240684029,0.247808811382,0.247293103262,0.229387228192,1.014614113768,0.247704945929,5184,2592,2592
2.4,10,0.063671216181,0.038567120126,0.246600492977,0.245194470225,0.605723000738,0.379781860757,0.252543265947,5184,2592,2592
2.4,11,0.05872502244,0.029434133481,0.24589885143,0.248772142022,0.501219620838,0.39824362415,0.252055002614,5184,2592,2592
2.4,12,0.100400733126,0.032285691956,0.243768006596,0.259644185177,0.321568288903,0.34504241925,0.252091318751,5184,2592,2592
2.4,13,0.072734537106,0.021228155428,0.244331174151,0.24839898748,0.291857984833,0.715688821316,0.249392574236,5184,2592,2592
2.4,14,0.088888923306,0.019334833207,0.243896016188,0.254152837633,0.217516789355,0.513957041163,0.255060605581,5184,2592,2592
2.4,15,0.091660670375,0.020838395968,0.241880254985,0.252774243236,0.227342827438,4.305479373739,0.252384971624,5184,2592,2592
2.4,16,0.084847379098,0.026463392333,0.242619472823,0.249404951719,0.311894045685,0.376504905885,0.247281819547,5184,2592,2592
2.4,17,0.089284104001,0.022560427454,0.24061650139,0.255224214925,0.252681344637,0.651152343926,0.248501869478,5184,2592,2592
2.4,18,0.09175884552,0.021887930744,0.240760939504,0.25111229319,0.238537555921,4.306969679568,0.248804316182,5184,2592,2592
2.4,19,0.089170227078,0.024223471626,0.248091008038,0.249436485043,0.271654255238,0.501407316969,0.248292318987,5184,2592,2592
2.4,20,0.085119572437,0.02690596753,0.240079296352,0.248345575787,0.316096131125,4.298566113911,0.250054156187,5184,2592,2592
2.4,21,0.073734376805,0.022082896965,0.245043532818,0.25304856242,0.299492555871,0.304971793248,0.251814886323,5184,2592,2592
2.4,22,0.087713822494,0.029678027757,0.239442744706,0.252385550254,0.33835063748,0.525497539583,0.255726318255,5184,2592,2592
2.4,23,0.086280298382,0.027744994448,0.237839973366,0.248335080191,0.321568132799,4.301869200263,0.249128368646,5184,2592,2592
2.4,24,0.074361648253,0.025550873363,0.249742771388,0.250031895235,0.343602837802,0.816284134829,0.247107206108,5184,2592,2592
2.4,25,0.07049119104,0.033064699405,0.24161205487,0.250175782685,0.469061437573,0.490452245264,0.25444868963,5184,2592,2592
2.4,26,0.067588278408,0.022931919037,0.245772533077,0.248379936785,0.339288402911,0.303510820338,0.251285919311,5184,2592,2592
2.4,27,0.081488846492,0.021079943085,0.249161504524,0.256450667023,0.258685010192,0.468953085415,0.246624331908,5184,2592,2592
2.4,28,0.077710951419,0.032712809766,0.242829189149,0.24633001163,0.420954951242,0.534552134132,0.251255720041,5184,2592,2592
2.4,29,0.091647346116,0.029541821086,0.242950887044,0.255988126698,0.322342351832,0.643437420998,0.254193586999,5184,2592,2592
2.4,30,0.066248352967,0.010427257664,0.247531129418,0.248455306353,0.15739648153,0.529964905468,0.24663339384,5184,2592,2592
2.4,31,0.087596401458,0.019214773325,0.240794294632,0.248375092399,0.219355738429,0.566704692974,0.252974081444,5184,2592,2592
2.8,0,0.116581508428,0.038707467106,0.241765581831,0.252794093362,0.332020640558,4.366077169428,0.25130848164,5184,2592,2592
2.8,1,0.150283113782,0.068628027594,0.231860687439,0.246139594486,0.456658275617,0.383660325956,0.2514644663,5184,2592,2592
2.8,2,0.136485160156,0.067256239811,0.235276198057,0.249609872621,0.492773278308,0.45397359571,0.249281841513,5184,2592,2592
2.8,3,0.156957496759,0.060877965891,0.233731748843,0.246010044873,0.387862747228,0.402003519045,0.247184486461,5184,2592,2592
2.8,4,0.137638665562,0.063884079952,0.237160883658,0.243823463198,0.464143412689,0.381327943322,0.251143793583,5184,2592,2592
2.8,5,0.146523572724,0.074413118057,0.239543468846,0.24320156137,0.507857655077,0.396388432539,0.252330658982,5184,2592,2592
2.8,6,0.128567906172,0.063510423603,0.233963273285,0.242458645373,0.493983494746,0.356343618029,0.2536311563,5184,2592,2592
2.8,7,0.115494813823,0.058139170746,0.236094152456,0.250847010105,0.503392046982,0.390305435527,0.244140958059,5184,2592,2592
2.8,8,0.14022777098,0.0608263681,0.236075278623,0.245514267789,0.433768344709,0.331257994466,0.243789780348,5184,2592,2592
2.8,9,0.131802095107,0.060989282294,0.237258877031,0.246033167235,0.462733784657,0.333572266285,0.251205744688,5184,2592,2592
2.8,10,0.127184264053,0.048908092932,0.236828932363,0.242174417555,0.384545158133,0.645819596657,0.255729746176,5184,2592,2592
2.8,11,0.143801490352,0.057624034443,0.233987291285,0.244282296539,0.400719313142,0.564759513325,0.248792270622,5184,2592,2592
2.8,12,0.130189172167,0.040006832619,0.236261226953,0.251083036196,0.307297695752,0.586618585358,0.249006638859,5184,2592,2592
2.8,13,0.138054654611,0.05449160061,0.234450430656,0.249284090554,0.394710346883,0.559306447632,0.249110617896,5184,2592,2592
2.8,14,0.142119651171,0.059055749898,0.244108660941,0.243050097955,0.415535426742,0.392575905681,0.248824361101,5184,2592,2592
2.8,15,0.139260550242,0.052806460816,0.228556349341,0.248138384204,0.379191815083,0.486760501865,0.250110088798,5184,2592,2592
2.8,16,0.149244591574,0.063354817837,0.233709915024,0.24496748701,0.424503274582,0.577838413939,0.248747912866,5184,2592,2592
2.8,17,0.13428588668,0.04038043875,0.237674866602,0.248222702604,0.300705008905,0.532599267123,0.248275540723,5184,2592,2592
2.8,18,0.161129950978,0.061590270756,0.232371699559,0.247730004022,0.38223974117,0.4752736712,0.255887949391,5184,2592,2592
2.8,19,0.126563323202,0.048330826429,0.233280261351,0.244337898057,0.381870712672,0.384116697068,0.245295702113,5184,2592,2592
2.8,20,0.126852137829,0.057932332593,0.233782913218,0.245143014901,0.456691811306,0.319086569346,0.256092224801,5184,2592,2592
2.8,21,0.129968173991,0.057919897389,0.235792490186,0.237408333911,0.445646773442,0.517792714105,0.249045729223,5184,2592,2592
2.8,22,0.134107069099,0.053053676385,0.233799694706,0.252964816179,0.39560685907,0.349914297997,0.243538402235,5184,2592,2592
2.8,23,0.149512602388,0.050691434112,0.23085239306,0.245833105249,0.339044557463,4.419004919865,0.252145807907,5184,2592,2592
2.8,24,0.126738703835,0.040879741104,0.238356711142,0.252791705896,0.322551358562,0.596334622571,0.243824931067,5184,2592,2592
2.8,25,0.147453553572,0.067932799604,0.23496664859,0.250485536406,0.460706425574,0.461589185329,0.252094768225,5184,2592,2592
2.8,26,0.132391293005,0.062468431079,0.234699771332,0.24658219955,0.471846974682,0.315297045547,0.248872900852,5184,2592,2592
2.8,27,0.149531338787,0.062942938707,0.230538284041,0.241833566731,0.420934763358,0.463047531081,0.24694351609,5184,2592,2592
2.8,28,0.13464038875,0.066729237684,0.235971806213,0.249261202279,0.49561085127,0.37131838075,0.254215294748,5184,2592,2592
2.8,29,0.13488975902,0.04892083797,0.236935072912,0.24715196644,0.362672736061,0.338897860527,0.246022088153,5184,2592,2592
2.8,30,0.147615262004,0.053919928932,0.234527929955,0.253005314091,0.365273401951,0.385417145895,0.24588283374,5184,2592,2592
2.8,31,0.129116991846,0.038905917131,0.243457477194,0.254500945,0.301322982938,0.412777728478,0.247657857292,5184,2592,2592
