config_idx,transform_id,max_abs_signature_residual
25,random_5,5.551115123126e-17
25,random_6,1.387778780781e-16
25,random_7,1.110223024625e-16
26,identity,8.326672684689e-17
26,random_0,1.110223024625e-16
26,random_1,5.551115123126e-17
26,random_2,1.387778780781e-16
26,random_3,1.110223024625e-16
26,random_4,1.110223024625e-16
26,random_5,8.326672684689e-17
26,random_6,1.665334536938e-16
26,random_7,1.110223024625e-16
27,identity,8.326672684689e-17
27,random_0,1.387778780781e-16
27,random_1,1.665334536938e-16
27,random_2,2.775557561563e-16
27,random_3,1.665334536938e-16
27,random_4,1.110223024625e-16
27,random_5,1.665334536938e-16
27,random_6,1.110223024625e-16
27,random_7,1.665334536938e-16
28,identity,1.110223024625e-16
28,random_0,1.665334536938e-16
28,random_1,1.110223024625e-16
28,random_2,8.326672684689e-17
28,random_3,1.387778780781e-16
28,random_4,1.110223024625e-16
28,random_5,1.942890293094e-16
28,random_6,1.665334536938e-16
28,random_7,1.110223024625e-16
29,identity,1.387778780781e-16
29,random_0,1.110223024625e-16
29,random_1,1.110223024625e-16
29,random_2,1.110223024625e-16
29,random_3,8.326672684689e-17
29,random_4,1.942890293094e-16
29,random_5,8.326672684689e-17
29,random_6,1.387778780781e-16
29,random_7,1.110223024625e-16
30,identity,5.551115123126e-17
30,random_0,1.665334536938e-16
30,random_1,2.220446049250e-16
30,random_2,1.110223024625e-16
30,random_3,1.665334536938e-16
30,random_4,1.942890293094e-16
30,random_5,2.220446049250e-16
30,random_6,1.665334536938e-16
30,random_7,2.220446049250e-16
31,identity,5.551115123126e-17
31,random_0,6.938893903907e-17
31,random_1,1.110223024625e-16
31,random_2,9.714451465470e-17
31,random_3,1.110223024625e-16
31,random_4,5.551115123126e-17
31,random_5,8.326672684689e-17
31,random_6,1.110223024625e-16
31,random_7,1.110223024625e-16
